location,number,resp_time,null,day_offset,week
,,2013-03-24 09:00:00,1,0,1
,,2013-03-24 11:00:00,"43.70624514,-72.28708367",0,1
"43.70350954,-72.28608081",2.0,2013-03-30 20:00:00,,6,1
,,2013-03-24 11:00:00,"43.70624514,-72.28708367",0,1
,,2013-03-24 11:00:00,4,0,1
,,2013-03-24 11:00:00,"43.70624514,-72.28708367",0,1
Unknown,3.0,2013-03-27 02:00:00,,2,1
Unknown,2.0,2013-03-27 03:00:00,,2,1
"43.70582719,-72.28937924",2.0,2013-03-29 08:00:00,,4,1
"43.70227295,-72.28989198",2.0,2013-03-27 21:00:00,,3,1
"43.70528743,-72.29155419",2.0,2013-03-28 19:00:00,,4,1
"43.70350954,-72.28608081",2.0,2013-03-29 17:00:00,,5,1
"43.70350954,-72.28608081",2.0,2013-03-31 06:00:00,,6,1
"43.70350954,-72.28608081",2.0,2013-03-30 06:00:00,,5,1
"43.70326445,-72.28627025",3.0,2013-04-01 16:00:00,,8,2
"43.70712705,-72.28700077",2.0,2013-04-01 06:00:00,,7,2
"43.70237031,-72.28787598",3.0,2013-04-03 02:00:00,,9,2
"43.70237031,-72.28787598",3.0,2013-04-03 17:00:00,,10,2
"43.7052264,-72.28719803",3.0,2013-04-04 04:00:00,,10,2
"43.70301411,-72.28619057",2.0,2013-04-04 19:00:00,,11,2
"43.70342734,-72.28638739",3.0,2013-04-05 18:00:00,,12,2
"43.70410077,-72.28719868",3.0,2013-04-06 01:00:00,,12,2
"43.04882397,-71.72452648",3.0,2013-04-07 01:00:00,,13,2
"43.70278047,-72.28749202",4.0,2013-04-08 02:00:00,,14,3
"43.70370174,-72.28680811",3.0,2013-04-10 20:00:00,,17,3
"43.70731779,-72.2868045",3.0,2013-04-10 10:00:00,,17,3
"43.70314121,-72.28659035",3.0,2013-04-12 06:00:00,,18,3
"43.70385469,-72.28643647",3.0,2013-04-13 01:00:00,,19,3
"43.70360138,-72.28652466",3.0,2013-04-14 05:00:00,,20,3
"43.70343873,-72.28651243",3.0,2013-04-15 04:00:00,,21,4
"43.70396504,-72.28927469",3.0,2013-04-16 04:00:00,,22,4
"43.70430223,-72.29046297",3.0,2013-04-18 20:00:00,,25,4
"43.70430223,-72.29046297",3.0,2013-04-18 06:00:00,,24,4
"43.70518194,-72.28800233",4.0,2013-04-20 20:00:00,,27,4
"43.70406215,-72.28755806",3.0,2013-04-21 20:00:00,,28,5
"43.70440204,-72.29052256",3.0,2013-04-25 00:00:00,,31,5
"43.70434734,-72.28679491",3.0,2013-04-23 23:00:00,,30,5
"43.7052687,-72.28811786",2.0,2013-04-23 06:00:00,,29,5
"43.70369581,-72.28686269",3.0,2013-04-25 21:00:00,,32,5
"43.70295661,-72.28995533",3.0,2013-04-27 00:00:00,,33,5
"43.70708811,-72.28767562",3.0,2013-05-01 09:00:00,,38,6
"43.70502255,-72.28804551",3.0,2013-05-03 07:00:00,,39,6
"43.7037094,-72.28660102",3.0,2013-05-05 09:00:00,,42,7
"43.7049437,-72.28880281",3.0,2013-05-07 03:00:00,,43,7
"43.70454326,-72.2895076",3.0,2013-05-09 21:00:00,,46,7
"43.70343934,-72.28739154",4.0,2013-05-12 06:00:00,,48,7
"43.70447785,-72.29155849",3.0,2013-05-23 13:00:00,,60,9
Unknown,1.0,2013-05-28 02:00:00,,64,10
