null,resp_time,level,location,day_offset,week
"43.70624514,-72.28708367",2013-03-24 11:00:00,,,0,1
"43.70624514,-72.28708367",2013-03-24 11:00:00,,,0,1
"43.7062285,-72.28708899",2013-03-24 09:00:00,,,0,1
"43.70624514,-72.28708367",2013-03-24 11:00:00,,,0,1
,2013-03-27 02:00:00,2.0,Unknown,2,1
3,2013-03-24 11:00:00,,,0,1
,2013-03-27 03:00:00,1.0,Unknown,2,1
,2013-03-28 21:00:00,3.0,"43.70582719,-72.28937924",4,1
,2013-03-27 09:00:00,4.0,Unknown,3,1
,2013-03-28 22:00:00,3.0,"43.70582719,-72.28937924",4,1
,2013-03-28 23:00:00,1.0,"43.70582719,-72.28937924",4,1
,2013-03-27 06:00:00,4.0,Unknown,2,1
,2013-03-27 22:00:00,1.0,"43.70528743,-72.29155419",3,1
,2013-03-27 21:00:00,1.0,"43.70227295,-72.28989198",3,1
,2013-03-27 17:00:00,1.0,Unknown,3,1
,2013-03-28 04:00:00,2.0,"43.70528743,-72.29155419",3,1
,2013-03-30 20:00:00,1.0,"43.70350954,-72.28608081",6,1
,2013-03-29 01:00:00,1.0,"43.70582719,-72.28937924",4,1
,2013-03-28 07:00:00,3.0,"43.70528743,-72.29155419",3,1
,2013-03-28 02:00:00,4.0,"43.70528743,-72.29155419",3,1
,2013-03-29 00:00:00,1.0,"43.70582719,-72.28937924",4,1
,2013-03-29 17:00:00,2.0,"43.70350954,-72.28608081",5,1
,2013-03-29 21:00:00,2.0,"43.70350954,-72.28608081",5,1
,2013-03-31 02:00:00,1.0,"43.70350954,-72.28608081",6,1
,2013-04-02 03:00:00,1.0,"43.70291844,-72.28747058",8,2
,2013-04-01 01:00:00,3.0,"43.70316589,-72.2862713",7,2
,2013-04-01 06:00:00,2.0,"43.70712705,-72.28700077",7,2
,2013-04-01 09:00:00,1.0,"43.70326445,-72.28627025",8,2
,2013-04-01 16:00:00,1.0,"43.70326445,-72.28627025",8,2
,2013-04-01 20:00:00,1.0,"43.70536875,-72.29101233",8,2
,2013-04-03 02:00:00,1.0,"43.70237031,-72.28787598",9,2
,2013-04-03 00:00:00,1.0,"43.70237031,-72.28787598",9,2
,2013-04-03 06:00:00,1.0,"43.70237031,-72.28787598",9,2
,2013-04-03 17:00:00,1.0,"43.70237031,-72.28787598",10,2
,2013-04-04 00:00:00,1.0,"43.7052264,-72.28719803",10,2
,2013-04-04 01:00:00,1.0,"43.7052264,-72.28719803",10,2
,2013-04-04 05:00:00,1.0,"43.7052264,-72.28719803",10,2
,2013-04-04 06:00:00,1.0,"43.7052264,-72.28719803",10,2
,2013-04-04 19:00:00,1.0,"43.70301411,-72.28619057",11,2
,2013-04-05 00:00:00,1.0,"43.70345019,-72.28639754",11,2
,2013-04-05 18:00:00,3.0,"43.70342734,-72.28638739",12,2
,2013-04-06 06:00:00,1.0,Unknown,12,2
,2013-04-06 01:00:00,1.0,"43.70410077,-72.28719868",12,2
,2013-04-07 02:00:00,1.0,"43.70376214,-72.28616855",13,2
,2013-04-07 01:00:00,1.0,"43.04906525,-71.72455068",13,2
,2013-04-08 02:00:00,1.0,"43.70278047,-72.28749202",14,3
,2013-04-09 09:00:00,1.0,"43.70364811,-72.28649081",16,3
,2013-04-12 02:00:00,2.0,"43.70314121,-72.28659035",18,3
,2013-04-09 22:00:00,1.0,"43.70357235,-72.28662725",16,3
,2013-04-10 10:00:00,3.0,"43.70731779,-72.2868045",17,3
,2013-04-10 17:00:00,3.0,"43.70370174,-72.28680811",17,3
,2013-04-12 06:00:00,2.0,"43.70314121,-72.28659035",18,3
,2013-04-11 03:00:00,1.0,"43.70370174,-72.28680811",17,3
,2013-04-12 12:00:00,2.0,"43.70314121,-72.28659035",19,3
,2013-04-13 01:00:00,2.0,"43.70385469,-72.28643647",19,3
,2013-04-13 11:00:00,2.0,"43.70385469,-72.28643647",20,3
,2013-04-14 05:00:00,2.0,"43.70360138,-72.28652466",20,3
,2013-04-15 04:00:00,2.0,"43.70343873,-72.28651243",21,4
,2013-04-15 07:00:00,3.0,"43.70343873,-72.28651243",21,4
,2013-04-15 20:00:00,2.0,"43.70547864,-72.28756321",22,4
,2013-04-16 04:00:00,2.0,"43.70322923,-72.28831716",22,4
,2013-04-17 05:00:00,2.0,"43.70691883,-72.28761119",23,4
,2013-04-18 20:00:00,3.0,"43.70430223,-72.29046297",25,4
,2013-04-18 06:00:00,2.0,"43.70430223,-72.29046297",24,4
,2013-04-20 20:00:00,2.0,"43.70518194,-72.28800233",27,4
,2013-04-21 20:00:00,3.0,"43.70406215,-72.28755806",28,5
,2013-04-23 23:00:00,2.0,"43.70434734,-72.28679491",30,5
,2013-04-23 06:00:00,2.0,"43.7052687,-72.28811786",29,5
,2013-04-25 00:00:00,3.0,"43.70440204,-72.29052256",31,5
,2013-04-23 08:00:00,2.0,"43.7052687,-72.28811786",29,5
,2013-04-26 07:00:00,3.0,"43.70277439,-72.28880163",32,5
,2013-04-26 19:00:00,2.0,"43.7037697,-72.28671187",33,5
,2013-04-27 00:00:00,3.0,"43.70295661,-72.28995533",33,5
,2013-04-25 21:00:00,3.0,"43.70369581,-72.28686269",32,5
,2013-04-26 08:00:00,2.0,"43.70277439,-72.28880163",32,5
,2013-04-29 00:00:00,2.0,Unknown,35,6
,2013-04-29 20:00:00,2.0,Unknown,36,6
,2013-05-01 00:00:00,3.0,"43.70327826,-72.28641283",37,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 21:00:00,2.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-01 09:00:00,1.0,"43.70708811,-72.28767562",38,6
,2013-05-02 06:00:00,1.0,"43.70086878,-72.28956496",38,6
,2013-05-08 18:00:00,2.0,"43.70429145,-72.29019942",45,7
,2013-05-09 21:00:00,2.0,"43.70454326,-72.2895076",46,7
,2013-05-05 09:00:00,3.0,"43.7037094,-72.28660102",42,7
,2013-05-07 03:00:00,2.0,"43.7049437,-72.28880281",43,7
,2013-05-19 22:00:00,2.0,"43.70573461,-72.28972765",56,9
,2013-05-23 13:00:00,2.0,"43.70447785,-72.29155849",60,9
,2013-05-24 07:00:00,2.0,"43.70328045,-72.28642261",60,9
