null,resp_time,course_id,due,experience,hours,location,day_offset,week
ffgg,2013-03-24 09:00:00,,,,,,0,1
2,2013-03-24 11:00:00,,,,,,0,1
1,2013-03-24 11:00:00,,,,,,0,1
yccgc,2013-03-24 11:00:00,,,,,,0,1
1,2013-03-24 11:00:00,,,,,,0,1
,2013-03-27 03:00:00,rel 038,1.0,2.0,1.0,Unknown,2,1
,2013-03-27 03:00:00,chin 62,2.0,2.0,1.0,Unknown,2,1
,2013-03-28 21:00:00,cs 65,2.0,3.0,1.0,"43.70582719,-72.28937924",4,1
,2013-03-27 21:00:00,cs 89,2.0,1.0,1.0,"43.70227295,-72.28989198",3,1
,2013-03-27 21:00:00,cs 65,2.0,3.0,1.0,"43.70227295,-72.28989198",3,1
,2013-03-29 00:00:00,chin 62,2.0,1.0,2.0,"43.70582719,-72.28937924",4,1
,2013-03-29 21:00:00,cs89,2.0,1.0,1.0,"43.70350954,-72.28608081",5,1
,2013-03-29 21:00:00,cs65,2.0,1.0,1.0,"43.70350954,-72.28608081",5,1
,2013-03-31 00:00:00,no class today,2.0,1.0,1.0,"43.70350954,-72.28608081",6,1
