null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-03 20:00:00,cs89,2.0,1.0,1.0,"43.70644629,-72.28641042",10,2
,2013-04-03 02:00:00,chin 62,2.0,3.0,1.0,"43.70237031,-72.28787598",9,2
,2013-04-01 00:00:00,no class,2.0,1.0,1.0,"43.70316589,-72.2862713",7,2
,2013-04-03 03:00:00,cs65 section,2.0,1.0,1.0,"43.70237031,-72.28787598",9,2
,2013-04-02 22:00:00,cs 50 ta,2.0,1.0,3.0,"43.7029938,-72.28634884",9,2
,2013-04-01 20:00:00,cs 89,2.0,3.0,1.0,"43.70516598,-72.29089148",8,2
,2013-04-01 20:00:00,cs 65,2.0,3.0,1.0,"43.70538133,-72.29099059",8,2
,2013-04-03 20:00:00,cs65,2.0,3.0,2.0,"43.70644629,-72.28641042",10,2
,2013-04-05 02:00:00,chin 62,2.0,1.0,1.0,"43.70342734,-72.28638739",11,2
,2013-04-06 01:00:00,cs 65,2.0,3.0,2.0,"43.70410077,-72.28719868",12,2
,2013-04-06 01:00:00,cs 89,2.0,1.0,1.0,"43.70410077,-72.28719868",12,2
