null,resp_time,level,location,day_offset,week
Unknown,2013-03-30 01:00:00,,,5,1
2,2013-03-24 09:00:00,,,0,1
"43.70500256,-72.28866813",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
"43.70593753,-72.28873503",2013-03-24 10:00:00,,,0,1
Unknown,2013-03-30 01:00:00,,,5,1
Unknown,2013-03-30 01:00:00,,,5,1
,2013-03-31 02:00:00,4.0,"43.64827459,-72.24550815",6,1
,2013-03-31 02:00:00,4.0,"43.64827459,-72.24550815",6,1
,2013-04-03 00:00:00,1.0,"43.7032657,-72.29045059",9,2
,2013-03-31 19:00:00,4.0,"42.35025658,-71.07655539",7,2
,2013-04-03 06:00:00,1.0,"43.70348694,-72.29093353",9,2
,2013-04-01 18:00:00,1.0,"43.70383924,-72.29026049",8,2
,2013-04-03 18:00:00,1.0,"43.70371584,-72.2909896",10,2
,2013-04-03 02:00:00,1.0,"43.70348694,-72.29093353",9,2
,2013-04-04 01:00:00,1.0,"43.70367648,-72.29094557",10,2
,2013-04-04 08:00:00,4.0,"43.70584223,-72.29075364",10,2
,2013-04-05 00:00:00,1.0,"43.70584223,-72.29075364",11,2
,2013-04-05 06:00:00,1.0,"43.70584223,-72.29075364",11,2
,2013-04-06 23:00:00,4.0,"43.70515516,-72.28939444",13,2
,2013-04-07 00:00:00,4.0,"43.70515516,-72.28939444",13,2
,2013-04-07 03:00:00,4.0,"43.70515516,-72.28939444",13,2
,2013-04-07 21:00:00,4.0,"43.70515516,-72.28939444",14,3
,2013-04-08 02:00:00,4.0,"43.70515516,-72.28939444",14,3
,2013-04-08 19:00:00,4.0,"43.70832897,-72.28441037",15,3
,2013-04-08 20:00:00,4.0,"43.70371352,-72.29119139",15,3
,2013-04-08 22:00:00,1.0,"43.70826063,-72.28421526",15,3
,2013-04-09 09:00:00,4.0,"43.70826063,-72.28421526",16,3
,2013-04-09 22:00:00,4.0,"43.70826063,-72.28421526",16,3
,2013-04-10 19:00:00,4.0,"43.70827877,-72.28438588",17,3
,2013-04-10 07:00:00,4.0,"43.70340811,-72.29061712",16,3
,2013-04-10 22:00:00,4.0,"43.70827877,-72.28438588",17,3
,2013-04-13 07:00:00,4.0,"43.70333989,-72.29049829",19,3
,2013-04-11 22:00:00,1.0,"43.70845191,-72.28419384",18,3
,2013-04-12 17:00:00,4.0,"43.71906267,-72.27262809",19,3
,2013-04-12 22:00:00,4.0,"43.7062746,-72.28944936",19,3
,2013-04-13 05:00:00,4.0,"43.70333989,-72.29049829",19,3
,2013-04-13 23:00:00,4.0,"43.71713165,-72.27145544",20,3
,2013-04-14 07:00:00,1.0,"43.71713165,-72.27145544",20,3
,2013-04-15 20:00:00,1.0,"43.71713165,-72.27145544",22,4
,2013-04-14 22:00:00,1.0,"43.71713165,-72.27145544",21,4
,2013-04-17 04:00:00,1.0,"43.70285908,-72.29002745",23,4
,2013-04-17 08:00:00,4.0,"43.70285908,-72.29002745",23,4
,2013-04-15 18:00:00,1.0,"43.71713165,-72.27145544",22,4
,2013-04-16 04:00:00,1.0,"43.70635749,-72.28923654",22,4
,2013-04-16 08:00:00,1.0,"43.70635749,-72.28923654",22,4
,2013-04-17 00:00:00,1.0,"43.70710027,-72.28737661",23,4
,2013-04-18 10:00:00,4.0,Unknown,25,4
,2013-04-18 04:00:00,4.0,Unknown,24,4
,2013-04-20 06:00:00,4.0,"43.70587544,-72.2911665",26,4
,2013-04-22 09:00:00,1.0,"43.7031993,-72.2904444",29,5
,2013-04-21 19:00:00,1.0,"43.70587544,-72.2911665",28,5
,2013-04-23 01:00:00,4.0,"43.7031993,-72.2904444",29,5
,2013-04-24 19:00:00,4.0,Unknown,31,5
,2013-04-22 20:00:00,4.0,"43.7031993,-72.2904444",29,5
,2013-04-23 10:00:00,4.0,"43.7031993,-72.2904444",30,5
,2013-04-26 07:00:00,1.0,"43.70608389,-72.29104393",32,5
,2013-04-26 18:00:00,1.0,"43.70608389,-72.29104393",33,5
,2013-04-30 04:00:00,4.0,"43.70301124,-72.28963789",36,6
,2013-04-28 20:00:00,1.0,"43.70301955,-72.29020739",35,6
,2013-04-29 00:00:00,1.0,"43.70301955,-72.29020739",35,6
,2013-04-30 00:00:00,1.0,"43.70393053,-72.28997233",36,6
,2013-05-08 18:00:00,1.0,"43.7089232,-72.28415444",45,7
,2013-05-08 02:00:00,1.0,"43.70690225,-72.28707856",44,7
,2013-05-06 00:00:00,1.0,"43.70420319,-72.28854729",42,7
,2013-05-10 18:00:00,1.0,"43.719082,-72.2724696",47,7
,2013-05-06 04:00:00,1.0,"43.70399217,-72.29093645",42,7
,2013-05-14 19:00:00,1.0,"43.70421817,-72.28966565",51,8
,2013-05-15 02:00:00,1.0,"43.70333692,-72.29043048",51,8
,2013-05-18 19:00:00,5.0,Unknown,55,8
,2013-05-22 16:00:00,1.0,"43.70680906,-72.28749051",59,9
,2013-05-24 19:00:00,1.0,Unknown,61,9
,2013-05-27 06:00:00,4.0,"43.65273307,-72.24424084",63,10
