null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-03 21:00:00,math23,2.0,4.0,3.0,"43.70654748,-72.28919801",10,2
,2013-04-01 22:00:00,math23,2.0,1.0,1.0,"43.70574271,-72.28946233",8,2
,2013-04-01 19:00:00,cs65,2.0,3.0,2.0,"43.70819533,-72.28464859",8,2
,2013-04-03 23:00:00,cs60,2.0,2.0,1.0,"43.70367648,-72.29094557",10,2
,2013-04-02 20:00:00,cs65,2.0,3.0,3.0,"43.7032657,-72.29045059",9,2
,2013-04-02 21:00:00,math23,2.0,4.0,1.0,"43.7032657,-72.29045059",9,2
,2013-04-03 02:00:00,cs69,1.0,1.0,3.0,"43.70348694,-72.29093353",9,2
,2013-04-03 19:00:00,cs65,2.0,3.0,3.0,"43.70371584,-72.2909896",10,2
,2013-04-04 20:00:00,cs65,2.0,3.0,1.0,"43.70584223,-72.29075364",11,2
,2013-04-05 09:00:00,cs69,1.0,1.0,4.0,"43.70584223,-72.29075364",12,2
,2013-04-05 20:00:00,cs65,2.0,1.0,1.0,"43.70665195,-72.28627345",12,2
,2013-04-05 22:00:00,cs60,2.0,3.0,1.0,"43.70614862,-72.28934977",12,2
,2013-04-05 21:00:00,math23,1.0,5.0,6.0,"43.70614862,-72.28934977",12,2
