null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-15 19:00:00,cs65,1.0,4.0,9.0,"43.71713165,-72.27145544",22,4
,2013-04-15 21:00:00,math23,2.0,1.0,1.0,"43.70635829,-72.28923585",22,4
,2013-04-16 00:00:00,cs60,2.0,3.0,1.0,"43.70635749,-72.28923654",22,4
,2013-04-17 04:00:00,cs69,2.0,1.0,2.0,"43.70285908,-72.29002745",23,4
,2013-04-17 00:00:00,cs65,1.0,3.0,3.0,"43.70710027,-72.28737661",23,4
,2013-04-17 00:00:00,math23,2.0,4.0,5.0,"43.70710027,-72.28737661",23,4
,2013-04-17 22:00:00,math23,1.0,4.0,10.0,"43.70261834,-72.28972009",24,4
,2013-04-17 19:00:00,cs65,2.0,1.0,1.0,"43.70285908,-72.29002745",24,4
,2013-04-18 20:00:00,cs65,2.0,1.0,1.0,Unknown,25,4
,2013-04-19 22:00:00,math23,1.0,1.0,2.0,"43.70300607,-72.29026873",26,4
,2013-04-19 22:00:00,cs60,2.0,3.0,1.0,"43.70300607,-72.29026873",26,4
,2013-04-19 20:00:00,cs65,2.0,1.0,1.0,"43.70300607,-72.29026873",26,4
