location,number,resp_time,null,day_offset,week
Unknown,5.0,2013-03-30 09:00:00,,6,1
,,2013-03-24 10:00:00,"43.70418487,-72.28949725",0,1
,,2013-03-24 09:00:00,4,0,1
,,2013-03-24 10:00:00,5,0,1
,,2013-03-24 10:00:00,"43.70593748,-72.28873507",0,1
"43.64827459,-72.24550815",3.0,2013-03-31 07:00:00,,6,1
,,2013-03-30 01:00:00,4,5,1
,,2013-03-30 01:00:00,Unknown,5,1
,,2013-03-30 01:00:00,5,5,1
,,2013-03-30 01:00:00,Unknown,5,1
"43.70371584,-72.2909896",4.0,2013-04-03 18:00:00,,10,2
"42.43957501,-71.25060403",4.0,2013-04-01 07:00:00,,7,2
"43.70574271,-72.28946233",3.0,2013-04-02 07:00:00,,8,2
"43.70584223,-72.29075364",4.0,2013-04-05 09:00:00,,12,2
"43.70612576,-72.29094097",5.0,2013-04-06 04:00:00,,12,2
"43.70832897,-72.28441037",3.0,2013-04-08 19:00:00,,15,3
"43.70515516,-72.28939444",5.0,2013-04-07 09:00:00,,14,3
"43.70827877,-72.28438588",4.0,2013-04-10 20:00:00,,17,3
"43.70433336,-72.29107034",5.0,2013-04-11 20:00:00,,18,3
"43.70340811,-72.29061712",4.0,2013-04-10 07:00:00,,16,3
"43.71713165,-72.27145544",4.0,2013-04-13 21:00:00,,20,3
"43.71906267,-72.27262809",4.0,2013-04-12 17:00:00,,19,3
"43.70285908,-72.29002745",4.0,2013-04-17 06:00:00,,23,4
"43.71713165,-72.27145544",5.0,2013-04-14 20:00:00,,21,4
Unknown,5.0,2013-04-18 11:00:00,,25,4
"43.70300607,-72.29026873",4.0,2013-04-19 09:00:00,,26,4
"43.7031993,-72.2904444",3.0,2013-04-22 09:00:00,,29,5
"43.70211393,-72.28994529",5.0,2013-05-03 07:00:00,,39,6
"43.70425459,-72.29094939",3.0,2013-05-06 06:00:00,,42,7
"43.719082,-72.2724696",4.0,2013-05-10 18:00:00,,47,7
"43.7089232,-72.28415444",4.0,2013-05-09 07:00:00,,45,7
"43.70420319,-72.28854729",6.0,2013-05-05 17:00:00,,42,7
"43.7037874,-72.29006945",6.0,2013-05-13 00:00:00,,49,8
Unknown,4.0,2013-05-20 21:00:00,,57,9
"43.70450738,-72.29025958",4.0,2013-05-28 19:00:00,,65,10
"43.65273307,-72.24424084",4.0,2013-05-27 06:00:00,,63,10
