course_id,due,experience,hours,location,resp_time,day_offset,week
CS 65,2,2,2,"43.70151604525745,-72.2881496977061",2013-03-28 00:00:00,0,1
Linguistics 11,2,4,3,"43.70601645670831,-72.28864909149706",2013-03-27 03:00:00,0,1
German 1,1,2,4,"43.702606027945876,-72.2895226534456",2013-03-28 21:00:00,1,1
CS 65,2,3,1,"43.702606027945876,-72.2895226534456",2013-03-29 00:00:00,1,1
German 1,1,2,3,Unknown,2013-03-30 00:00:00,2,1
German 1 Drill,2,3,2,"43.70382381,-72.28721012",2013-04-02 16:00:00,6,1
German 1,2,2,3,"43.7055138,-72.28774539",2013-04-01 17:00:00,5,1
CS 7,1,1,3,"43.70351572,-72.28960285",2013-04-01 23:00:00,5,1
German 1,1,3,3,"43.70348925,-72.28865624",2013-04-02 21:00:00,6,1
German 1 Drill,2,3,1,"43.7052892,-72.28791432",2013-04-01 17:00:00,5,1
CS 65,1,3,2,"43.7055138,-72.28774539",2013-04-01 19:00:00,5,1
