course_id,due,experience,hours,location,resp_time,day_offset,week
CS7,2,1,3,"43.70397214,-72.29027069",2013-04-03 22:00:00,7,2
CS65,2,3,2,"43.70572549,-72.29076597",2013-04-03 19:00:00,7,2
German 1,1,3,3,"43.7035497,-72.28791333",2013-04-04 17:00:00,8,2
German 1 Drill,2,2,2,"43.70389361,-72.28722817",2013-04-04 16:00:00,8,2
sexperts,1,2,2,"43.70307048,-72.29134056",2013-04-05 00:00:00,8,2
cs7,2,1,3,"43.70307048,-72.29134056",2013-04-05 00:00:00,8,2
German 1 Drill,2,3,2,"43.706564088352025,-72.2880931198597",2013-04-05 00:00:00,8,2
German 1,1,3,3,"43.70640328153968,-72.28827752172947",2013-04-05 00:00:00,8,2
German 1 Drill,2,2,2,"43.70410232339054,-72.28721008636057",2013-04-05 16:00:00,9,2
CS 65,2,1,1,"43.70551232714206,-72.29069134220481",2013-04-05 23:00:00,9,2
CS 7,1,1,5,"43.705377923324704,-72.2905449103564",2013-04-05 23:00:00,9,2
German 1,1,3,3,"43.7052727304399,-72.28970169089735",2013-04-05 23:00:00,9,2
German 1,1,3,3,"43.705853219144046,-72.2873000241816",2013-04-08 17:00:00,12,2
CS65,1,3,4,"43.70876152999699,-72.28423618711531",2013-04-08 19:00:00,12,2
CS 65,1,1,6,"43.704237481579185,-72.2890498302877",2013-04-09 00:00:00,12,2
Sexperts,1,2,2,"43.70316120330244,-72.28972448967397",2013-04-10 00:00:00,13,2
German 1 Drill,2,3,3,"43.70316120330244,-72.28972448967397",2013-04-10 00:00:00,13,2
German 1,1,2,2,"43.70316120330244,-72.28972448967397",2013-04-10 00:00:00,13,2
