course_id,due,experience,hours,location,resp_time,day_offset,week
German 1 Drill,2,3,2,"43.70562979951501,-72.28742231614888",2013-04-26 19:00:00,30,5
 German 1,2,3,1,"43.70627956464887,-72.29024643078446",2013-04-25 18:00:00,29,5
CS 7,2,1,2,"43.704175874590874,-72.2904362808913",2013-04-25 23:00:00,29,5
Sexperts,2,2,2,"43.704535835422575,-72.29042085818946",2013-04-25 23:00:00,29,5
CS 65,2,1,2,"43.70562979951501,-72.28742231614888",2013-04-26 19:00:00,30,5
German 1,1,3,3,"43.70562979951501,-72.28742231614888",2013-04-26 19:00:00,30,5
German 1 Drill,2,4,2,"43.704183753579855,-72.28855940513313",2013-04-29 16:00:00,33,5
German 1,1,3,2,"43.704183753579855,-72.28855940513313",2013-04-29 19:00:00,33,5
CS 65,1,3,12,"43.704183753579855,-72.28855940513313",2013-04-29 19:00:00,33,5
German 1 Drill,2,3,2,Unknown,2013-04-30 17:00:00,34,5
