hour,location,rate,resp_time,social,day_offset,week
5,"43.70351572,-72.28960285",2,2013-04-01 23:00:00,2,5,1
8,"43.70600279420614,-72.28865772485733",2,2013-03-27 03:00:00,1,0,1
6,"43.702606027945876,-72.2895226534456",2,2013-03-29 16:00:00,2,2,1
5,"43.704553940333426,-72.28965441696346",2,2013-03-27 16:00:00,2,0,1
6,"43.702606027945876,-72.2895226534456",2,2013-03-29 18:00:00,2,2,1
4,"43.702606027945876,-72.2895226534456",3,2013-03-28 18:00:00,2,1,1
10,"43.70693783,-72.28746398",1,2013-03-30 23:00:00,2,3,1
10,"43.70295231,-72.29014782",1,2013-03-31 07:00:00,2,4,1
8,Unknown,2,2013-03-30 19:00:00,2,3,1
9,"43.7025121,-72.28898705",2,2013-04-01 02:00:00,2,4,1
4,"43.70348925,-72.28865624",3,2013-04-02 17:00:00,2,6,1
6,"43.70437719,-72.28801048",2,2013-04-01 17:00:00,3,5,1
7,"43.70348925,-72.28865624",2,2013-04-02 20:00:00,1,6,1
5,"43.7052441,-72.29056065",2,2013-04-03 16:00:00,2,7,2
5,"43.70572549,-72.29076597",2,2013-04-03 17:00:00,2,7,2
5,"43.7035497,-72.28791333",2,2013-04-04 17:00:00,2,8,2
5,"43.70385188,-72.28719243",2,2013-04-04 16:00:00,1,8,2
5,"43.705932260490954,-72.28973739780486",2,2013-04-05 00:00:00,2,8,2
3,"43.705437518656254,-72.29089770466089",2,2013-04-05 16:00:00,2,9,2
4,"43.705850495025516,-72.29117003269494",3,2013-04-08 17:00:00,2,12,2
3,"43.70550360996276,-72.29067164473236",2,2013-04-05 23:00:00,2,9,2
3,"43.70563575066626,-72.28763739578426",3,2013-04-05 17:00:00,2,9,2
10,"43.70573427993804,-72.2908112872392",1,2013-04-07 00:00:00,2,10,2
7,"43.703208435326815,-72.29068145155907",2,2013-04-08 04:00:00,2,12,2
6,"43.70414901059121,-72.28755131363869",2,2013-04-09 16:00:00,2,13,2
7,Unknown,2,2013-04-10 02:00:00,2,13,2
5,"43.703053118661046,-72.28771945461631",2,2013-04-11 17:00:00,1,15,3
6,"43.70562917087227,-72.29097867384553",2,2013-04-10 17:00:00,1,14,3
5,"43.70402131229639,-72.28727504611015",2,2013-04-11 16:00:00,1,15,3
6,"43.70402202475816,-72.28741058148444",3,2013-04-12 17:00:00,2,16,3
5,Unknown,3,2013-04-12 03:00:00,4,16,3
4,"43.70289662852883,-72.28997561149299",2,2013-04-15 17:00:00,1,19,3
9,Unknown,1,2013-04-13 20:00:00,1,17,3
6,"43.70286871679127,-72.2912011295557",2,2013-04-13 03:00:00,3,17,3
4,Unknown,2,2013-04-16 00:00:00,3,19,3
0,"43.70402395259589,-72.28720606304705",4,2013-04-17 17:00:00,3,21,4
6,"43.70423106942326,-72.28727990761399",3,2013-04-18 17:00:00,2,22,4
6,"43.703944282606244,-72.28723866865039",2,2013-04-19 15:00:00,1,23,4
7,"43.702826388180256,-72.29127505794168",2,2013-04-20 23:00:00,2,24,4
5,"43.70403212495148,-72.28753563947976",3,2013-04-22 17:00:00,2,26,4
0,"43.7041941890493,-72.28825522586703",4,2013-04-23 17:00:00,4,27,4
2,"43.704183753579855,-72.28855940513313",4,2013-04-29 15:00:00,1,33,5
13,Unknown,1,2013-04-24 20:00:00,1,28,5
4,"43.7066536070779,-72.28823712095618",2,2013-04-25 19:00:00,1,29,5
0,Unknown,4,2013-04-30 17:00:00,4,34,5
2,"43.704183753579855,-72.28855940513313",4,2013-04-29 17:00:00,2,33,5
5,"43.703525606542826,-72.28842906653881",1,2013-05-02 17:00:00,1,36,6
5,"43.70568541344255,-72.29091857559979",2,2013-05-03 05:00:00,1,37,6
8,"43.705528462305665,-72.29130095802248",3,2013-05-03 20:00:00,2,37,6
3,"43.70550696272403,-72.28745399974287",2,2013-05-06 18:00:00,2,40,6
5,"43.705429220572114,-72.29127271100879",3,2013-05-07 16:00:00,2,41,6
9,"43.7037179293111,-72.28826511651278",2,2013-05-09 17:00:00,2,43,7
4,"29.90291280671954,-90.0272652413696",3,2013-05-12 18:00:00,4,46,7
1,Unknown,3,2013-05-09 01:00:00,2,42,7
5,"33.64048871677369,-84.43573283962905",3,2013-05-11 17:00:00,4,45,7
12,"43.70381080079824,-72.28889644145966",1,2013-05-15 18:00:00,1,49,8
2,"43.70531283784658,-72.28896860964596",2,2013-05-18 00:00:00,2,51,8
10,"43.705568527802825,-72.29081480763853",1,2013-05-19 19:00:00,1,53,8
10,"43.70494906324893,-72.29194141924381",1,2013-05-18 21:00:00,1,52,8
2,Unknown,2,2013-05-21 18:00:00,2,55,8
2,Unknown,2,2013-05-23 17:00:00,2,57,9
10,"43.70550733990967,-72.2909749019891",1,2013-05-27 19:00:00,1,61,9
8,Unknown,2,2013-05-24 17:00:00,2,58,9
16,Unknown,1,2013-05-26 05:00:00,1,60,9
4,Unknown,2,2013-05-29 02:00:00,2,62,9
10,"43.705530599690974,-72.29089292697608",1,2013-05-30 16:00:00,1,64,10
1,Unknown,3,2013-05-30 00:00:00,3,63,10
9,"41.09053309075534,-73.45103331841528",1,2013-06-01 04:00:00,1,66,10
19,"29.902878901921213,-90.02735710702837",1,2013-06-02 21:00:00,1,67,10
1,"29.900103276595473,-90.0295245833695",3,2013-06-02 06:00:00,3,67,10
13,"29.902872280217707,-90.02744721248746",1,2013-06-04 23:00:00,1,69,10
15,"29.902795627713203,-90.02727152779698",1,2013-06-06 00:00:00,1,70,11
5,"29.899868331849575,-90.02978006377816",2,2013-06-07 23:00:00,3,72,11
