course_id,due,experience,hours,location,resp_time,day_offset,week
German 1 Drill,2,3,2,"43.70533023029566,-72.28808063082397",2013-04-18 17:00:00,22,4
Germ�n 1,1,1,3,Unknown,2013-04-18 00:00:00,21,4
Germ�n 1 Drill,2,2,2,Unknown,2013-04-18 00:00:00,21,4
Computer Science 7,1,4,9,Unknown,2013-04-18 00:00:00,21,4
Sexperts,1,3,2,Unknown,2013-04-18 09:00:00,22,4
German 1,1,3,2,"43.7053832039237,-72.28814735077322",2013-04-18 17:00:00,22,4
CS 7,1,4,9,Unknown,2013-04-18 09:00:00,22,4
CS 65,2,3,2,"43.70582476258278,-72.29042178019881",2013-04-19 20:00:00,23,4
German 1,1,3,2,"43.70582476258278,-72.29042178019881",2013-04-19 20:00:00,23,4
German 1 Drill,1,2,2,"43.70440830476582,-72.2871760558337",2013-04-19 16:00:00,23,4
German 1,2,3,2,"43.70448730420321,-72.28795372880995",2013-04-22 17:00:00,26,4
German 1,2,3,1,Unknown,2013-04-24 02:00:00,27,4
German 1Drill,2,1,1,Unknown,2013-04-24 02:00:00,27,4
Sexperts,2,1,1,Unknown,2013-04-24 02:00:00,27,4
