course_id,due,experience,hours,location,resp_time,day_offset,week
German 1,1,3,2,"43.70313869789243,-72.2904294077307",2013-05-01 05:00:00,35,6
Sexperts,1,1,2,"43.70313869789243,-72.2904294077307",2013-05-01 05:00:00,35,6
German 1,1,2,2,"43.70215223170817,-72.28934881277382",2013-05-02 17:00:00,36,6
CS 65,2,1,2,"43.70457284152508,-72.2903202753514",2013-05-03 00:00:00,36,6
German 1 Drill,2,3,2,"43.70215223170817,-72.28934881277382",2013-05-02 17:00:00,36,6
Sexperts,2,1,1,"43.705135183408856,-72.29042873717844",2013-05-03 00:00:00,36,6
CS 7,2,3,1,"43.70491880457848,-72.29022338055074",2013-05-03 00:00:00,36,6
German 1,1,2,2,"43.70550696272403,-72.28745399974287",2013-05-06 18:00:00,40,6
CS 7,1,1,4,"43.702878188341856,-72.29103986173868",2013-05-07 02:00:00,40,6
German 1 Drill,2,3,2,"43.70389746967703,-72.28679367341101",2013-05-06 16:00:00,40,6
German 1 Drill,2,3,2,"43.705429220572114,-72.29127271100879",2013-05-07 16:00:00,41,6
CS 65,2,4,3,"43.705406757071614,-72.28963203728199",2013-05-06 19:00:00,40,6
