null,resp_time,course_id,due,experience,hours,location,day_offset,week
"43.70633605,-72.28701846",2013-03-24 10:00:00,,,,,,0,1
y,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 09:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
,2013-03-29 00:00:00,CS65,2.0,3.0,1.0,"43.70660906218045,-72.28850320131149",4,1
,2013-03-28 22:00:00,LAT3,2.0,3.0,5.0,"43.70660906218045,-72.28850320131149",4,1
,2013-03-29 22:00:00,MATH13,1.0,2.0,6.0,"43.70293765941701,-72.29087519854266",5,1
,2013-03-29 22:00:00,LAT3,1.0,3.0,3.0,"43.70280622511184,-72.29096898523272",5,1
,2013-03-29 22:00:00,CS65,2.0,2.0,1.0,"43.70283528839602,-72.29096080666464",5,1
