hour,location,rate,resp_time,social,null,day_offset,week
,,,2013-03-24 09:00:00,,8,0,1
,,,2013-03-24 10:00:00,,1,0,1
,,,2013-03-24 10:00:00,,Unknown,0,1
,,,2013-03-24 10:00:00,,1,0,1
6.0,"43.70653338,-72.28661597",2.0,2013-03-27 18:00:00,1.0,,3,1
6.0,"43.70443732,-72.28677041",2.0,2013-03-27 01:00:00,1.0,,2,1
6.0,"43.70421582,-72.2867684",2.0,2013-03-27 15:00:00,1.0,,3,1
7.0,"43.70437389,-72.28688493",2.0,2013-03-28 15:00:00,1.0,,4,1
7.0,,3.0,2013-03-30 20:00:00,1.0,,6,1
6.0,"43.70437389,-72.28688493",2.0,2013-03-28 17:00:00,1.0,,4,1
6.0,"43.70349874,-72.28440608",2.0,2013-03-29 15:00:00,1.0,,5,1
6.0,"43.70414142,-72.28932127",2.0,2013-03-29 17:00:00,1.0,,5,1
6.0,"43.70410518,-72.28790447",2.0,2013-04-01 15:00:00,1.0,,8,2
7.0,"43.70315377,-72.28626052",3.0,2013-03-31 19:00:00,1.0,,7,2
6.0,"43.70338698,-72.28924152",2.0,2013-04-01 17:00:00,1.0,,8,2
8.0,"43.7058173,-72.29660835",2.0,2013-04-02 17:00:00,1.0,,9,2
8.0,"43.7038194,-72.28630753",2.0,2013-04-03 18:00:00,1.0,,10,2
7.0,"43.70500049,-72.28555637",2.0,2013-04-04 20:00:00,1.0,,11,2
7.0,"43.70500049,-72.28555637",2.0,2013-04-04 15:00:00,1.0,,11,2
5.0,"41.56429417,-73.40466456",2.0,2013-04-07 00:00:00,1.0,,13,2
6.0,"43.70302172,-72.28510945",2.0,2013-04-05 15:00:00,1.0,,12,2
7.0,"43.70301965,-72.2847275",2.0,2013-04-05 17:00:00,1.0,,12,2
5.0,"43.70400146,-72.28561947",3.0,2013-04-07 16:00:00,1.0,,14,3
8.0,"43.70661818,-72.28797185",2.0,2013-04-08 17:00:00,1.0,,15,3
6.0,"43.70493208,-72.28856946",3.0,2013-04-10 17:00:00,1.0,,17,3
8.0,"43.70449075,-72.28617485",2.0,2013-04-09 19:00:00,1.0,,16,3
7.0,"43.70417131,-72.28591047",3.0,2013-04-11 17:00:00,1.0,,18,3
6.0,"43.7041984,-72.28652356",2.0,2013-04-12 17:00:00,1.0,,19,3
6.0,"43.70433801,-72.28693212",2.0,2013-04-16 18:00:00,1.0,,23,4
6.0,"43.70414785,-72.28568415",1.0,2013-04-15 18:00:00,1.0,,22,4
6.0,"43.70406175,-72.28602073",2.0,2013-04-17 17:00:00,1.0,,24,4
6.0,"43.7040839,-72.29095577",2.0,2013-04-18 17:00:00,1.0,,25,4
6.0,"43.70394475,-72.2863293",1.0,2013-04-19 15:00:00,1.0,,26,4
7.0,"43.70623282,-72.28816572",1.0,2013-04-22 17:00:00,1.0,,29,5
8.0,"43.70431008,-72.28573285",1.0,2013-04-23 18:00:00,1.0,,30,5
6.0,"43.70392825,-72.28599485",2.0,2013-04-30 17:00:00,1.0,,37,6
7.0,"43.70405908,-72.28617372",3.0,2013-05-01 18:00:00,1.0,,38,6
5.0,"43.70359634,-72.28941721",2.0,2013-05-13 17:00:00,1.0,,50,8
