null,resp_time,location,number,day_offset,week
1,2013-03-24 09:00:00,,,0,1
Unknown,2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
Unknown,2013-03-24 10:00:00,,,0,1
,2013-03-27 02:00:00,"43.70442851,-72.28676606",3.0,2,1
,2013-03-29 07:00:00,"43.70364698,-72.28605308",3.0,4,1
,2013-03-30 22:00:00,"43.70315377,-72.28626052",3.0,6,1
,2013-03-30 07:00:00,"43.70522558,-72.29116765",3.0,5,1
,2013-04-03 05:00:00,"43.70406845,-72.28722573",2.0,9,2
,2013-04-03 16:00:00,"43.70406845,-72.28722573",2.0,10,2
,2013-03-31 15:00:00,"43.70315377,-72.28626052",4.0,7,2
,2013-03-31 19:00:00,"43.70315377,-72.28626052",3.0,7,2
,2013-04-03 05:00:00,"43.70406845,-72.28722573",3.0,9,2
,2013-04-04 15:00:00,"43.70500049,-72.28555637",3.0,11,2
,2013-04-05 04:00:00,"43.70307665,-72.28927304",3.0,11,2
,2013-04-07 00:00:00,"43.70419632,-72.28592597",3.0,13,2
,2013-04-07 16:00:00,"43.70400146,-72.28561947",4.0,14,3
,2013-04-07 16:00:00,"43.70400146,-72.28561947",4.0,14,3
,2013-04-08 06:00:00,Unknown,3.0,14,3
,2013-04-11 20:00:00,"43.70417131,-72.28591047",3.0,18,3
,2013-04-12 20:00:00,"43.7041984,-72.28652356",3.0,19,3
,2013-04-13 20:00:00,Unknown,3.0,20,3
,2013-04-16 06:00:00,"43.70596983,-72.29501146",3.0,22,4
,2013-04-19 15:00:00,"43.70394475,-72.2863293",3.0,26,4
,2013-04-28 06:00:00,"43.70395298,-72.28591488",3.0,34,5
,2013-05-03 16:00:00,"43.7028707,-72.28951833",3.0,40,6
,2013-05-05 02:00:00,"42.48235825,-76.48771688",4.0,41,6
,2013-05-10 08:00:00,"43.70272466,-72.28964384",3.0,46,7
,2013-05-05 15:00:00,"43.70270522,-72.28685093",4.0,42,7
,2013-05-06 16:00:00,"43.70414453,-72.28604036",3.0,43,7
,2013-05-13 15:00:00,"43.70393102,-72.2857803",2.0,50,8
