null,resp_time,level,location,day_offset,week
Unknown,2013-03-24 10:00:00,,,0,1
Unknown,2013-03-24 09:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
,2013-03-27 04:00:00,1.0,"43.70200674,-72.28525688",2,1
,2013-03-30 22:00:00,1.0,"43.70315377,-72.28626052",6,1
,2013-03-28 02:00:00,1.0,"43.70406072,-72.28534671",3,1
,2013-03-27 22:00:00,4.0,"43.70224001,-72.28841753",3,1
,2013-03-29 23:00:00,1.0,"43.70414142,-72.28932127",5,1
,2013-03-29 15:00:00,1.0,"43.70313779,-72.28452113",5,1
,2013-03-29 16:00:00,2.0,"43.70326123,-72.28745298",5,1
,2013-04-02 02:00:00,3.0,"43.7058173,-72.29660835",8,2
,2013-04-03 15:00:00,2.0,"43.70406845,-72.28722573",10,2
,2013-04-02 17:00:00,1.0,"43.7058173,-72.29660835",9,2
,2013-04-03 00:00:00,2.0,"43.70373286,-72.28814449",9,2
,2013-03-31 20:00:00,1.0,Unknown,7,2
,2013-03-31 19:00:00,1.0,"43.70315377,-72.28626052",7,2
,2013-03-31 23:00:00,1.0,Unknown,7,2
,2013-04-04 15:00:00,1.0,"43.70500049,-72.28555637",11,2
,2013-04-07 00:00:00,1.0,"43.70419632,-72.28592597",13,2
,2013-04-05 15:00:00,2.0,"43.7030204,-72.28507159",12,2
,2013-04-06 01:00:00,1.0,"43.70472132,-72.28861869",12,2
,2013-04-07 16:00:00,1.0,"43.70400146,-72.28561947",14,3
,2013-04-08 02:00:00,1.0,Unknown,14,3
,2013-04-09 15:00:00,1.0,"43.70449075,-72.28617485",16,3
,2013-04-11 23:00:00,3.0,"43.70417131,-72.28591047",18,3
,2013-04-16 08:00:00,2.0,"43.70596983,-72.29501146",22,4
,2013-04-15 02:00:00,2.0,"43.70414785,-72.28568415",21,4
,2013-04-16 04:00:00,3.0,"43.70596983,-72.29501146",22,4
,2013-04-15 23:00:00,3.0,"43.70414785,-72.28568415",22,4
,2013-04-17 08:00:00,1.0,"43.70546416,-72.29837819",23,4
,2013-04-18 09:00:00,1.0,"43.70404253,-72.28545089",25,4
,2013-04-22 07:00:00,1.0,"43.70623282,-72.28816572",28,5
,2013-04-26 08:00:00,3.0,"43.70415952,-72.28581184",32,5
,2013-04-22 05:00:00,1.0,"43.702712149999996,-72.28760414",28,5
,2013-04-22 05:00:00,1.0,"40.85177617,-74.01394775",28,5
,2013-04-25 04:00:00,3.0,"43.704368529999996,-72.28622805",31,5
,2013-04-26 18:00:00,3.0,"43.70403989,-72.28593925",33,5
,2013-04-30 01:00:00,3.0,"43.70514579,-72.29019144",36,6
,2013-04-28 21:00:00,3.0,"43.70414602,-72.29169963",35,6
,2013-04-29 15:00:00,3.0,"43.70427846,-72.28612238",36,6
,2013-04-30 05:00:00,3.0,"43.70344161,-72.28587472",36,6
,2013-04-29 21:00:00,3.0,"43.70427846,-72.28612238",36,6
,2013-05-08 04:00:00,1.0,"43.70414535,-72.2880891",44,7
,2013-05-07 04:00:00,2.0,"43.70295827,-72.28971993",43,7
,2013-05-07 18:00:00,2.0,"43.70411079,-72.28591883",44,7
,2013-05-09 05:00:00,3.0,"43.70386255,-72.2897578",45,7
