null,resp_time,course_id,due,experience,hours,location,day_offset,week
1,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
hmhm,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
"43.70634198,-72.28701823",2013-03-24 10:00:00,,,,,,0,1
,2013-03-27 20:00:00,cs65,2.0,3.0,1.0,"43.70751491,-72.28694759",3,1
,2013-03-27 18:00:00,CS50,2.0,3.0,1.0,"43.70751491,-72.28694759",3,1
,2013-03-28 00:00:00,cs50,2.0,1.0,2.0,"43.70751491,-72.28694759",3,1
,2013-03-29 00:00:00,cs65,2.0,3.0,1.0,"43.70751491,-72.28694759",4,1
,2013-03-30 01:00:00,cs65,2.0,1.0,1.0,"43.70751491,-72.28694759",5,1
