null,resp_time,hour,location,rate,social,day_offset,week
3,2013-03-24 10:00:00,,,,,0,1
"43.70470212,-72.2884963",2013-03-24 10:00:00,,,,,0,1
8,2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
"43.70450324,-72.2884118",2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
,2013-03-27 18:00:00,7.0,"43.70751491,-72.28694759",1.0,1.0,3,1
,2013-03-27 18:00:00,8.0,"43.70751491,-72.28694759",1.0,1.0,3,1
,2013-03-28 20:00:00,8.0,"43.70751491,-72.28694759",2.0,1.0,4,1
,2013-03-30 01:00:00,5.0,"43.70751491,-72.28694759",3.0,1.0,5,1
,2013-03-30 22:00:00,9.0,"43.7048376,-72.29028059",1.0,4.0,6,1
,2013-03-31 17:00:00,8.0,"42.99574623,-71.51884702",1.0,1.0,7,2
