null,resp_time,hour,location,rate,social,day_offset,week
"43.70478674,-72.28850478",2013-03-24 10:00:00,,,,,0,1
"43.70478674,-72.28850478",2013-03-24 10:00:00,,,,,0,1
3,2013-03-24 10:00:00,,,,,0,1
"43.70636947,-72.28703152",2013-03-24 09:00:00,,,,,0,1
3,2013-03-24 10:00:00,,,,,0,1
3,2013-03-24 10:00:00,,,,,0,1
,2013-03-29 03:00:00,8.0,Unknown,1.0,1.0,4,1
,2013-03-29 03:00:00,8.0,Unknown,1.0,1.0,4,1
,2013-03-31 08:00:00,6.0,"42.94097068,-72.52796872",2.0,1.0,6,1
,2013-03-29 17:00:00,8.0,"43.70240618,-72.28732915",1.0,1.0,5,1
,2013-04-03 18:00:00,8.0,"43.70324769,-72.29030293",1.0,1.0,10,2
,2013-03-31 17:00:00,7.0,"42.94097068,-72.52796872",2.0,1.0,7,2
,2013-04-01 17:00:00,8.0,"43.70216667,-72.2862385",1.0,1.0,8,2
,2013-04-03 18:00:00,7.0,"43.70216667,-72.2862385",2.0,1.0,10,2
,2013-04-06 22:00:00,8.0,"43.70294473,-72.28772261",2.0,1.0,13,2
,2013-04-06 22:00:00,4.0,"43.70294473,-72.28772261",2.0,1.0,13,2
,2013-04-06 22:00:00,6.0,"43.70294473,-72.28772261",2.0,1.0,13,2
,2013-04-07 18:00:00,8.0,Unknown,3.0,2.0,14,3
,2013-04-08 20:00:00,8.0,Unknown,3.0,1.0,15,3
,2013-04-10 04:00:00,9.0,"43.70260784,-72.28705135",1.0,1.0,16,3
,2013-04-10 19:00:00,8.0,"43.70259206,-72.28665032",1.0,1.0,17,3
,2013-04-11 19:00:00,7.0,"43.70279814,-72.28714674",1.0,1.0,18,3
,2013-04-12 16:00:00,8.0,"43.70266979,-72.28673413",1.0,1.0,19,3
,2013-04-13 21:00:00,4.0,"43.69971813,-72.29088714",2.0,1.0,20,3
,2013-04-16 17:00:00,7.0,"43.70257447,-72.28689498",1.0,2.0,23,4
,2013-04-14 17:00:00,8.0,"40.7742808,-73.96073797",1.0,2.0,21,4
,2013-04-15 17:00:00,7.0,"43.70218934,-72.28761108",1.0,1.0,22,4
,2013-04-17 16:00:00,7.0,"43.70249632,-72.286166",1.0,1.0,24,4
,2013-04-18 17:00:00,4.0,"43.70263246,-72.28706428",3.0,1.0,25,4
,2013-04-19 18:00:00,8.0,"43.70254488,-72.28677668",1.0,1.0,26,4
,2013-04-20 22:00:00,6.0,"41.23064284,-73.0728831",2.0,1.0,27,4
,2013-04-22 17:00:00,8.0,"41.23064284,-73.0728831",1.0,1.0,29,5
,2013-04-23 20:00:00,7.0,"41.23064284,-73.0728831",1.0,1.0,30,5
,2013-04-26 18:00:00,8.0,Unknown,1.0,1.0,33,5
,2013-04-25 04:00:00,7.0,"41.23064284,-73.0728831",1.0,1.0,31,5
,2013-04-29 17:00:00,5.0,"43.70652524,-72.28699002",2.0,1.0,36,6
,2013-05-01 18:00:00,6.0,"43.70333152,-72.28938876",3.0,1.0,38,6
,2013-05-02 19:00:00,9.0,"43.70303414,-72.28449439",1.0,1.0,39,6
,2013-05-03 17:00:00,6.0,"43.70451244,-72.28888935",2.0,1.0,40,6
,2013-05-06 18:00:00,9.0,Unknown,1.0,1.0,43,7
