null,resp_time,level,location,day_offset,week
"43.70478674,-72.28850478",2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
"43.70637911,-72.28704324",2013-03-24 09:00:00,,,0,1
,2013-03-29 03:00:00,4.0,Unknown,4,1
,2013-03-29 19:00:00,4.0,"43.70240618,-72.28732915",5,1
,2013-03-29 03:00:00,1.0,Unknown,4,1
,2013-03-29 22:00:00,1.0,"43.70240618,-72.28732915",5,1
,2013-03-29 23:00:00,1.0,"43.70240618,-72.28732915",5,1
,2013-03-31 08:00:00,4.0,"42.94097068,-72.52796872",6,1
,2013-03-31 19:00:00,1.0,"42.94097068,-72.52796872",7,2
,2013-04-03 18:00:00,4.0,"43.70216667,-72.2862385",10,2
,2013-04-06 22:00:00,4.0,"43.70294473,-72.28772261",13,2
,2013-04-06 22:00:00,5.0,"43.70294473,-72.28772261",13,2
,2013-04-07 08:00:00,2.0,Unknown,13,2
,2013-04-06 22:00:00,5.0,"43.70294473,-72.28772261",13,2
,2013-04-06 22:00:00,4.0,"43.70294473,-72.28772261",13,2
,2013-04-06 22:00:00,1.0,"43.70294473,-72.28772261",13,2
,2013-04-10 19:00:00,5.0,"43.70285803,-72.28625113",17,3
,2013-04-11 22:00:00,4.0,"43.70279814,-72.28714674",18,3
,2013-04-10 04:00:00,4.0,"43.70260784,-72.28705135",16,3
,2013-04-13 23:00:00,4.0,"43.69971813,-72.29088714",20,3
,2013-04-15 03:00:00,4.0,"40.7744341,-73.9595746",21,4
,2013-04-16 08:00:00,4.0,"43.70247882,-72.2865795",22,4
,2013-04-17 04:00:00,1.0,"43.70301736,-72.28773771",23,4
,2013-04-17 16:00:00,1.0,"43.70249632,-72.286166",24,4
,2013-04-18 12:00:00,3.0,"43.70237328,-72.28670467",25,4
,2013-04-19 01:00:00,2.0,"43.70263246,-72.28706428",25,4
,2013-04-20 22:00:00,1.0,"41.23064284,-73.0728831",27,4
,2013-04-22 05:00:00,4.0,"41.23064284,-73.0728831",28,5
,2013-04-25 04:00:00,4.0,"41.23064284,-73.0728831",31,5
,2013-04-26 18:00:00,1.0,Unknown,33,5
,2013-04-29 18:00:00,1.0,"43.70906142,-72.28431236",36,6
,2013-05-03 06:00:00,4.0,"43.7024991,-72.28938342",39,6
