null,resp_time,location,number,day_offset,week
"43.70478674,-72.28850478",2013-03-24 10:00:00,,,0,1
"43.70478674,-72.28850478",2013-03-24 10:00:00,,,0,1
"43.70478674,-72.28850478",2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
,2013-03-31 08:00:00,"42.94097068,-72.52796872",5.0,6,1
,2013-03-29 06:00:00,"43.70440077,-72.28257231",4.0,4,1
,2013-03-29 23:00:00,"43.70240618,-72.28732915",4.0,5,1
,2013-03-31 19:00:00,"42.94097068,-72.52796872",3.0,7,2
,2013-04-06 22:00:00,"43.70294473,-72.28772261",5.0,13,2
,2013-04-06 22:00:00,"43.70294473,-72.28772261",4.0,13,2
,2013-04-08 20:00:00,Unknown,2.0,15,3
,2013-04-13 21:00:00,"43.69971813,-72.29088714",5.0,20,3
,2013-04-11 20:00:00,"43.70279814,-72.28714674",5.0,18,3
,2013-04-16 06:00:00,"43.70432058,-72.28833341",3.0,22,4
,2013-04-14 20:00:00,"40.7742808,-73.96073797",2.0,21,4
,2013-04-18 07:00:00,"43.70237328,-72.28670467",4.0,24,4
,2013-04-19 16:00:00,"43.70254488,-72.28677668",3.0,26,4
,2013-04-20 22:00:00,"41.23064284,-73.0728831",4.0,27,4
,2013-04-21 06:00:00,"41.23064284,-73.0728831",4.0,27,4
,2013-04-22 07:00:00,"41.23064284,-73.0728831",2.0,28,5
,2013-04-25 04:00:00,"41.23064284,-73.0728831",5.0,31,5
