null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-09 00:00:00,cs65,2.0,1.0,3.0,"43.70727926,-72.28900758",15,3
,2013-04-11 20:00:00,chin33,1.0,1.0,3.0,"43.70730854,-72.287476",18,3
,2013-04-11 03:00:00,cs65,2.0,3.0,1.0,"43.70146647,-72.28826534",17,3
,2013-04-11 20:00:00,cs65,2.0,3.0,1.0,"43.70730854,-72.287476",18,3
,2013-04-09 23:00:00,tuck3,2.0,3.0,3.0,"43.70740011,-72.28899929",16,3
,2013-04-09 23:00:00,chin33,2.0,1.0,1.0,"43.70743215,-72.28912504",16,3
,2013-04-10 00:00:00,tuck3,2.0,1.0,1.0,"43.70738991,-72.28912614",16,3
,2013-04-11 03:00:00,cs65,2.0,3.0,1.0,"43.70146647,-72.28826534",17,3
,2013-04-12 00:00:00,tuck 3,2.0,4.0,2.0,"43.70730854,-72.287476",18,3
,2013-04-13 05:00:00,cs89,1.0,3.0,10.0,"43.70728105,-72.2890411",19,3
