null,resp_time,level,location,day_offset,week
3,2013-03-24 10:00:00,,,0,1
"43.70633795,-72.28708513",2013-03-24 10:00:00,,,0,1
"43.70642612,-72.28756405",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
,2013-03-27 16:00:00,4.0,"43.70732226,-72.28906248",3,1
,2013-03-29 22:00:00,1.0,"43.707134,-72.28674202",5,1
,2013-03-30 22:00:00,4.0,"43.70755751,-72.28917613",6,1
,2013-04-03 08:00:00,1.0,"43.70765942,-72.28908826",9,2
,2013-04-05 08:00:00,1.0,"43.70745812,-72.28921487",11,2
,2013-04-05 18:00:00,1.0,"43.70605791,-72.28694024",12,2
,2013-04-08 20:00:00,1.0,"43.70776193,-72.28440587",15,3
,2013-04-09 04:00:00,1.0,"43.70476091,-72.28976384",15,3
,2013-04-09 23:00:00,1.0,"43.70741131,-72.28909446",16,3
,2013-04-15 20:00:00,3.0,"43.7074571,-72.28913868",22,4
,2013-04-19 03:00:00,1.0,"43.70264346,-72.28707",25,4
,2013-04-20 06:00:00,1.0,"43.70724964,-72.28892471",26,4
,2013-04-21 16:00:00,1.0,"43.70747,-72.28925023",28,5
,2013-04-26 18:00:00,3.0,"43.70659959,-72.28686749",33,5
,2013-04-30 04:00:00,3.0,"43.70729549,-72.28666352",36,6
,2013-04-30 00:00:00,3.0,"43.70755542,-72.28919066",36,6
