null,resp_time,location,number,day_offset,week
"43.70642612,-72.28756405",2013-03-24 10:00:00,,,0,1
"43.70633828,-72.2870846",2013-03-24 10:00:00,,,0,1
"43.70633795,-72.28708513",2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
,2013-03-27 16:00:00,"43.70687522,-72.28935409",3.0,3,1
,2013-03-28 17:00:00,"43.70725878,-72.28908602999999",3.0,4,1
,2013-03-29 07:00:00,"43.70732982,-72.28913201",3.0,4,1
,2013-03-30 08:00:00,"43.70753673,-72.28928834",2.0,5,1
,2013-03-31 06:00:00,"43.70715631,-72.28913382",2.0,6,1
,2013-04-05 18:00:00,"43.70605791,-72.28694024",3.0,12,2
,2013-04-05 18:00:00,"43.70605791,-72.28694024",1.0,12,2
,2013-04-06 04:00:00,"43.7070722,-72.28918173",2.0,12,2
,2013-04-08 07:00:00,"43.70736049,-72.28920014",1.0,14,3
,2013-04-08 04:00:00,"43.70730177,-72.28915579",3.0,14,3
,2013-04-10 20:00:00,"43.70155456,-72.28823683",3.0,17,3
,2013-04-11 20:00:00,"43.70730854,-72.287476",2.0,18,3
,2013-04-11 20:00:00,"43.70730854,-72.287476",2.0,18,3
,2013-04-12 21:00:00,"43.70728713,-72.28820549",1.0,19,3
,2013-04-17 07:00:00,"43.70498286,-72.28791117",3.0,23,4
,2013-04-19 03:00:00,"43.70264346,-72.28707",2.0,25,4
,2013-04-21 06:00:00,"43.70724964,-72.28892471",2.0,27,4
,2013-04-21 16:00:00,"43.70734979,-72.28910436",1.0,28,5
,2013-04-22 07:00:00,"43.70610767,-72.28849979",1.0,28,5
,2013-04-23 07:00:00,"43.70728871,-72.28933649",1.0,29,5
,2013-05-03 16:00:00,"43.70739317,-72.28896594",1.0,40,6
,2013-05-28 02:00:00,"43.70735666,-72.2890518",1.0,64,10
