null,resp_time,course_id,due,experience,hours,location,day_offset,week
tf,2013-03-24 10:00:00,,,,,,0,1
"43.70634639,-72.28704811",2013-03-24 10:00:00,,,,,,0,1
5,2013-03-24 10:00:00,,,,,,0,1
"43.70633795,-72.28708513",2013-03-24 10:00:00,,,,,,0,1
"43.70633795,-72.28708513",2013-03-24 10:00:00,,,,,,0,1
,2013-03-30 00:00:00,cs65,1.0,3.0,2.0,"43.70738006,-72.28908542",5,1
,2013-03-27 04:00:00,Tuck 3,2.0,1.0,1.0,"43.70727405,-72.28860059",2,1
,2013-03-29 00:00:00,tuck 3,2.0,1.0,2.0,"43.70736033,-72.2891458",4,1
,2013-03-28 00:00:00,cs65,2.0,3.0,2.0,"43.70750471,-72.28915323",3,1
,2013-03-30 08:00:00,Chinese 33,1.0,1.0,2.0,"43.70741795,-72.28914941",5,1
,2013-03-30 08:00:00,cs89,2.0,4.0,1.0,"43.70741061,-72.28914251",5,1
