null,resp_time,hour,location,rate,social,day_offset,week
15,2013-03-24 09:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
"43.70499462,-72.28868604",2013-03-24 10:00:00,,,,,0,1
"43.70499462,-72.28868604",2013-03-24 10:00:00,,,,,0,1
"43.70499462,-72.28868604",2013-03-24 10:00:00,,,,,0,1
,2013-03-29 08:00:00,7.0,Unknown,2.0,3.0,4,1
,2013-03-29 19:00:00,8.0,"43.70603333,-72.28705357",1.0,1.0,5,1
,2013-03-31 02:00:00,8.0,"43.70471098,-72.2906745",1.0,1.0,6,1
,2013-04-03 18:00:00,8.0,"43.70428082,-72.28776631",2.0,1.0,10,2
,2013-04-03 16:00:00,8.0,"43.70457417,-72.29062836",2.0,1.0,10,2
,2013-04-03 05:00:00,6.0,"43.70671181,-72.28623406",3.0,1.0,9,2
,2013-04-05 18:00:00,6.0,"43.70384903,-72.28732435",2.0,1.0,12,2
,2013-04-08 04:00:00,10.0,"41.50578384,-71.45561789",2.0,2.0,14,3
,2013-04-08 04:00:00,10.0,Unknown,1.0,1.0,14,3
,2013-04-08 17:00:00,6.0,"43.70384519,-72.28717248",3.0,1.0,15,3
,2013-04-09 16:00:00,8.0,"43.70423505,-72.29046602",3.0,1.0,16,3
,2013-04-12 18:00:00,6.0,Unknown,2.0,3.0,19,3
,2013-04-10 18:00:00,7.0,"43.70578547,-72.28703541",2.0,1.0,17,3
,2013-04-18 20:00:00,6.0,Unknown,2.0,1.0,25,4
,2013-04-17 03:00:00,8.0,"43.70591041,-72.28826857",1.0,1.0,23,4
,2013-04-15 18:00:00,6.0,"43.70808053,-72.28506786",1.0,1.0,22,4
,2013-04-17 03:00:00,9.0,"43.70591041,-72.28826857",1.0,1.0,23,4
,2013-04-22 18:00:00,8.0,"43.70746352,-72.28565777",1.0,1.0,29,5
,2013-05-29 17:00:00,4.0,Unknown,4.0,1.0,66,10
