null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-08 04:00:00,span3,2.0,1.0,1.0,"41.49583437,-71.45812765",14,3
,2013-04-08 04:00:00,cs65,2.0,1.0,2.0,"41.49583437,-71.45812765",14,3
,2013-04-08 18:00:00,span3,2.0,1.0,1.0,"43.70384519,-72.28717248",15,3
,2013-04-09 06:00:00,ears3,1.0,1.0,2.0,Unknown,15,3
,2013-04-09 06:00:00,cs65,2.0,1.0,1.0,Unknown,15,3
,2013-04-12 18:00:00,span3,1.0,1.0,2.0,Unknown,19,3
,2013-04-10 18:00:00,span3,1.0,1.0,2.0,"43.70578547,-72.28703541",17,3
,2013-04-10 19:00:00,cs65,1.0,1.0,4.0,"43.70578547,-72.28703541",17,3
,2013-04-09 17:00:00,span3,2.0,1.0,1.0,"43.70423505,-72.29046602",16,3
,2013-04-12 19:00:00,cs65,2.0,1.0,1.0,Unknown,19,3
