course_id,due,experience,hours,location,resp_time,null,day_offset,week
Anth12,2.0,5.0,2.0,"43.70672295,-72.28910432",2013-03-30 00:00:00,,5,1
,,,,,2013-03-24 10:00:00,2,0,1
,,,,,2013-03-24 10:00:00,"43.70639796,-72.28700878",0,1
,,,,,2013-03-24 10:00:00,1,0,1
,,,,,2013-03-24 09:00:00,"43.70639796,-72.28700878",0,1
,,,,,2013-03-24 10:00:00,eee,0,1
Engs22,2.0,4.0,2.0,"43.70584333,-72.29017652",2013-03-27 18:00:00,,3,1
no class today,2.0,1.0,1.0,"43.70715076,-72.28896815",2013-03-27 04:00:00,,2,1
Anth12,1.0,4.0,2.0,"43.70678414,-72.28915682",2013-03-27 22:00:00,,3,1
Cs65,2.0,3.0,1.0,"43.7067041,-72.28916968",2013-03-30 00:00:00,,5,1
Cs65,2.0,3.0,1.0,"43.70678239,-72.28918145",2013-03-27 22:00:00,,3,1
Anth12 ,1.0,4.0,2.0,"43.70678554,-72.2892457",2013-03-28 00:00:00,,3,1
Engs22,2.0,5.0,1.0,"43.70670639,-72.28914746",2013-03-30 00:00:00,,5,1
