level,location,resp_time,null,day_offset,week
4.0,"43.70685969,-72.28758714",2013-03-27 04:00:00,,2,1
,,2013-03-24 09:00:00,1.0,0,1
,,2013-03-24 10:00:00,3.0,0,1
,,2013-03-24 10:00:00,4.0,0,1
,,2013-03-24 10:00:00,3.0,0,1
1.0,"43.70677676,-72.28902977",2013-03-30 22:00:00,,6,1
1.0,"43.70652979,-72.28926963",2013-03-29 19:00:00,,5,1
4.0,"43.70685738,-72.28916538",2013-03-28 23:00:00,,4,1
5.0,"43.70672328,-72.28909919",2013-03-30 00:00:00,,5,1
1.0,"43.7067865,-72.28924896",2013-03-31 18:00:00,,7,2
2.0,"43.70656859,-72.28959788",2013-04-01 02:00:00,,7,2
1.0,"43.70671336,-72.28916672",2013-04-03 06:00:00,,9,2
4.0,"43.70654787,-72.28920771",2013-04-04 07:00:00,,10,2
4.0,"43.70712384,-72.28865547",2013-04-05 06:00:00,,11,2
4.0,"43.70696816,-72.28903041",2013-04-06 01:00:00,,12,2
5.0,"43.69935393,-72.29030653",2013-04-06 09:00:00,,13,2
1.0,"43.70570732,-72.2889679",2013-04-07 21:00:00,,14,3
1.0,"43.70522631,-72.28969164",2013-04-09 04:00:00,,15,3
1.0,"43.70677177,-72.28918785",2013-04-10 22:00:00,,17,3
2.0,"43.70403134,-72.28895495",2013-04-10 02:00:00,,16,3
1.0,"43.70697918,-72.2890532",2013-04-11 02:00:00,,17,3
1.0,"43.70461136,-72.28954968",2013-04-12 02:00:00,,18,3
4.0,"43.70688206,-72.28906315",2013-04-13 22:00:00,,20,3
1.0,"43.7065784,-72.28931637",2013-04-16 04:00:00,,22,4
1.0,"43.70670731,-72.28897599",2013-04-14 23:00:00,,21,4
1.0,"43.70668962,-72.28901451",2013-04-16 01:00:00,,22,4
1.0,"43.70725639,-72.28916553",2013-04-17 04:00:00,,23,4
4.0,"43.70330718,-72.28913616",2013-04-19 00:00:00,,25,4
4.0,"43.70700605,-72.28906778",2013-04-20 06:00:00,,26,4
2.0,"43.70682686,-72.28889746",2013-04-28 07:00:00,,34,5
1.0,"43.70669748,-72.28920919",2013-04-26 18:00:00,,33,5
2.0,"43.70681322,-72.28921218",2013-04-28 21:00:00,,35,6
2.0,"43.7066455,-72.28908136",2013-04-28 19:00:00,,35,6
3.0,"43.70665994,-72.28903937",2013-04-29 05:00:00,,35,6
2.0,"43.70669145,-72.28940019",2013-04-30 05:00:00,,36,6
1.0,"43.70264128,-72.28912823",2013-05-07 05:00:00,,43,7
