null,resp_time,location,number,day_offset,week
"43.70639796,-72.28700878",2013-03-24 10:00:00,,,0,1
1,2013-03-24 09:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
"43.70639796,-72.28700878",2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
,2013-03-27 04:00:00,"43.70693516,-72.28748551",4.0,2,1
,2013-03-27 04:00:00,"43.70640008,-72.28886262",4.0,2,1
,2013-03-27 22:00:00,"43.70678246,-72.289184",2.0,3,1
,2013-03-30 06:00:00,"43.70698995,-72.28913573",3.0,5,1
,2013-03-29 06:00:00,"43.70696787,-72.28902663",4.0,4,1
,2013-03-31 06:00:00,"43.70680994,-72.28923207",4.0,6,1
,2013-04-03 17:00:00,"43.70506577,-72.29201827",2.0,10,2
,2013-04-05 04:00:00,"43.70674954,-72.28920665",4.0,11,2
,2013-04-07 07:00:00,"43.70670639,-72.28907917",3.0,13,2
,2013-04-06 04:00:00,"43.69935393,-72.29030653",4.0,12,2
,2013-04-06 04:00:00,"43.69935393,-72.29030653",4.0,12,2
,2013-04-08 06:00:00,"43.70644183,-72.2892299",4.0,14,3
,2013-04-10 20:00:00,"43.70678215,-72.28917973",3.0,17,3
,2013-04-12 20:00:00,"43.70684932,-72.28899775",2.0,19,3
,2013-04-16 06:00:00,"43.7067925,-72.28917303",4.0,22,4
,2013-04-17 06:00:00,"43.70680473,-72.28919958",4.0,23,4
,2013-04-18 07:00:00,"43.70687856,-72.28943709",4.0,24,4
,2013-04-19 06:00:00,"43.7064275,-72.28908974",4.0,25,4
