null,resp_time,location,number,day_offset,week
3,2013-03-24 09:00:00,,,0,1
"43.70493909,-72.28852976",2013-03-24 10:00:00,,,0,1
2,2013-03-24 10:00:00,,,0,1
,2013-03-31 06:00:00,"43.70524858,-72.29046327",4.0,6,1
3,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
"43.70633265,-72.28802504",2013-03-24 10:00:00,,,0,1
"43.70493905,-72.28852958",2013-03-24 10:00:00,,,0,1
"43.70655968,-72.28710482",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
,2013-03-29 06:00:00,"43.67055143,-72.31802098",4.0,4,1
,2013-03-29 09:00:00,"43.70633345,-72.29084334",4.0,5,1
,2013-03-28 01:00:00,"43.70590151,-72.29089607",4.0,3,1
,2013-03-29 18:00:00,"43.70633345,-72.29084334",3.0,5,1
,2013-03-30 19:00:00,"43.70617004,-72.29083553",4.0,6,1
,2013-03-30 09:00:00,"43.70588361,-72.29057766",3.0,6,1
,2013-03-31 10:00:00,"43.70524858,-72.29046327",6.0,7,2
,2013-04-02 21:00:00,"43.70677201,-72.29138349",3.0,9,2
,2013-04-01 08:00:00,"43.70631987,-72.29102945",5.0,7,2
,2013-04-02 01:00:00,"43.70550136,-72.29129217",3.0,8,2
,2013-04-03 21:00:00,"43.70609599,-72.28861366",4.0,10,2
,2013-04-04 19:00:00,"43.70613594,-72.29081044",5.0,11,2
,2013-04-04 04:00:00,"43.70609599,-72.28861366",4.0,10,2
,2013-04-06 20:00:00,"43.70620136,-72.29091932",5.0,13,2
,2013-04-05 04:00:00,"43.70659181,-72.2906454",4.0,11,2
,2013-04-07 09:00:00,"43.70379372,-72.29020154",4.0,14,3
,2013-04-08 08:00:00,"43.70628881,-72.29056354",4.0,14,3
,2013-04-12 20:00:00,"43.706227,-72.29104106",4.0,19,3
,2013-04-12 08:00:00,Unknown,4.0,18,3
,2013-04-11 20:00:00,"43.70595458,-72.2905622",4.0,18,3
,2013-04-13 20:00:00,"43.70619094,-72.29054811",5.0,20,3
,2013-04-14 20:00:00,"43.70617355,-72.29100552",4.0,21,4
,2013-04-18 02:00:00,Unknown,4.0,24,4
,2013-04-19 08:00:00,"43.7062649,-72.29090775",4.0,25,4
