null,resp_time,hour,location,rate,social,day_offset,week
12,2013-03-24 09:00:00,,,,,0,1
"43.70633881,-72.28694599",2013-03-24 09:00:00,,,,,0,1
"43.70655968,-72.28710482",2013-03-24 10:00:00,,,,,0,1
2,2013-03-24 10:00:00,,,,,0,1
4,2013-03-24 10:00:00,,,,,0,1
2,2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
"43.70493909,-72.28852976",2013-03-24 10:00:00,,,,,0,1
5,2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
2,2013-03-24 10:00:00,,,,,0,1
,2013-03-29 00:00:00,6.0,"43.70641892,-72.29107603",4.0,1.0,4,1
,2013-03-29 00:00:00,7.0,"43.6323532,-72.31687088",2.0,1.0,4,1
,2013-03-29 18:00:00,7.0,"43.70633345,-72.29084334",2.0,1.0,5,1
,2013-03-29 21:00:00,7.0,"43.70633345,-72.29084334",3.0,4.0,5,1
,2013-03-30 19:00:00,9.0,"43.70617004,-72.29083553",2.0,4.0,6,1
,2013-04-03 21:00:00,9.0,"43.70607141,-72.28867039",1.0,1.0,10,2
,2013-04-02 21:00:00,6.0,"43.70677201,-72.29138349",2.0,1.0,9,2
,2013-04-01 08:00:00,7.0,"43.70631987,-72.29102945",2.0,2.0,7,2
,2013-04-01 17:00:00,8.0,"43.70644324,-72.28839048",2.0,1.0,8,2
,2013-04-04 19:00:00,6.0,"43.70613594,-72.29081044",3.0,1.0,11,2
,2013-04-05 19:00:00,9.0,"43.70610429,-72.29075771",1.0,1.0,12,2
,2013-04-06 20:00:00,10.0,"43.70620136,-72.29091932",2.0,1.0,13,2
,2013-04-08 17:00:00,7.0,"43.70613935,-72.29098339",3.0,1.0,15,3
,2013-04-09 19:00:00,9.0,"43.70622719,-72.29042601",3.0,1.0,16,3
,2013-04-12 08:00:00,10.0,Unknown,1.0,1.0,18,3
,2013-04-12 17:00:00,6.0,"43.70597871,-72.28908972",2.0,1.0,19,3
,2013-04-13 20:00:00,9.0,"43.70619094,-72.29054811",3.0,1.0,20,3
,2013-04-12 15:00:00,5.0,"43.70621814,-72.29075864",3.0,1.0,19,3
,2013-04-14 09:00:00,10.0,"43.70618738,-72.29054297",2.0,4.0,21,4
,2013-04-14 23:00:00,9.0,"43.70306598,-72.29015459",2.0,1.0,21,4
,2013-04-18 02:00:00,7.0,Unknown,2.0,1.0,24,4
,2013-05-13 23:00:00,9.0,"43.70334641,-72.28788749",2.0,1.0,50,8
,2013-05-26 18:00:00,5.0,"43.70554093,-72.29083252",4.0,1.0,63,10
