null,resp_time,course_id,due,experience,hours,location,day_offset,week
4,2013-03-24 10:00:00,,,,,,0,1
,2013-03-30 00:00:00,m&S's 45,2.0,3.0,1.0,"43.70588361,-72.29057766",5,1
3,2013-03-24 09:00:00,,,,,,0,1
"43.70636949,-72.28817596",2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
vh,2013-03-24 10:00:00,,,,,,0,1
hhh,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
2,2013-03-24 10:00:00,,,,,,0,1
4,2013-03-24 10:00:00,,,,,,0,1
,2013-03-29 21:00:00,math 22,2.0,4.0,1.0,"43.70633345,-72.29084334",5,1
,2013-03-29 00:00:00,math 22,2.0,1.0,1.0,"43.632408,-72.31682454",4,1
,2013-03-29 00:00:00,CS 60,2.0,1.0,1.0,"43.70581146,-72.29026137",4,1
