null,resp_time,level,location,day_offset,week
3,2013-03-24 09:00:00,,,0,1
"43.70655968,-72.28710482",2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
"43.70493909,-72.28852976",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
,2013-03-29 06:00:00,3.0,"43.67055143,-72.31802098",4,1
"43.70493909,-72.28852976",2013-03-24 10:00:00,,,0,1
,2013-03-27 22:00:00,1.0,"43.70711081,-72.28617685",3,1
,2013-03-29 00:00:00,2.0,"43.70641892,-72.29107603",4,1
,2013-03-29 21:00:00,1.0,"43.70633345,-72.29084334",5,1
,2013-03-29 09:00:00,4.0,"43.70633345,-72.29084334",5,1
,2013-03-30 19:00:00,1.0,"43.70617004,-72.29083553",6,1
,2013-03-30 09:00:00,2.0,"43.70588361,-72.29057766",6,1
,2013-03-31 06:00:00,3.0,"43.70524858,-72.29046327",6,1
,2013-04-01 08:00:00,2.0,"43.70631987,-72.29102945",7,2
,2013-03-31 10:00:00,5.0,"43.70524858,-72.29046327",7,2
,2013-03-31 21:00:00,1.0,"43.70591455,-72.29054825",7,2
,2013-04-02 01:00:00,4.0,"43.70550138,-72.29129215",8,2
,2013-04-05 22:00:00,4.0,"43.70649383,-72.28807879",12,2
,2013-04-06 08:00:00,1.0,"43.70547806,-72.29117378",12,2
,2013-04-06 01:00:00,1.0,"43.70648019,-72.28808391",12,2
,2013-04-07 09:00:00,2.0,"43.70379372,-72.29020154",14,3
,2013-04-08 08:00:00,1.0,"43.70628881,-72.29056354",14,3
,2013-04-08 20:00:00,1.0,"43.70613935,-72.29098339",15,3
,2013-04-09 04:00:00,3.0,"43.70608703,-72.29127999",15,3
,2013-04-12 08:00:00,2.0,Unknown,18,3
,2013-04-09 22:00:00,1.0,"43.70622719,-72.29042601",16,3
,2013-04-09 19:00:00,2.0,"43.70622719,-72.29042601",16,3
,2013-04-12 19:00:00,1.0,"43.70597871,-72.28908972",19,3
,2013-04-12 15:00:00,1.0,"43.70621814,-72.29075864",19,3
,2013-04-13 20:00:00,1.0,"43.70619094,-72.29054811",20,3
,2013-04-14 01:00:00,2.0,"43.70435926,-72.29033729",20,3
,2013-04-14 07:00:00,3.0,"43.70435926,-72.29033729",20,3
,2013-04-14 09:00:00,2.0,"43.70618738,-72.29054297",21,4
,2013-04-14 22:00:00,1.0,"43.70306598,-72.29015459",21,4
,2013-04-15 20:00:00,1.0,"43.70306598,-72.29015459",22,4
,2013-04-17 08:00:00,2.0,"43.70658148,-72.28842709",23,4
,2013-04-18 02:00:00,2.0,Unknown,24,4
,2013-04-29 04:00:00,2.0,"43.70677861,-72.28726798",35,6
,2013-05-13 18:00:00,1.0,"43.70574595,-72.29018994",50,8
,2013-05-15 20:00:00,2.0,"43.70638055,-72.29069172",52,8
,2013-05-18 03:00:00,3.0,"43.70636729,-72.29144404",54,8
,2013-05-18 20:00:00,1.0,"43.70672317,-72.29074914",55,8
,2013-05-20 08:00:00,2.0,"43.70661086,-72.28735775",56,9
,2013-05-22 04:00:00,2.0,"43.70634052,-72.29076118",58,9
