location,number,resp_time,null,day_offset,week
"43.7037725,-72.29602645",4.0,2013-03-31 07:00:00,,6,1
,,2013-03-24 10:00:00,"43.70642019,-72.28709812",0,1
,,2013-03-24 09:00:00,"43.70642492,-72.28710024",0,1
,,2013-03-24 10:00:00,4,0,1
,,2013-03-24 10:00:00,"43.70642019,-72.28709812",0,1
,,2013-03-24 10:00:00,"43.70642019,-72.28709812",0,1
"43.70377911,-72.28961632",3.0,2013-03-30 08:00:00,,5,1
"43.70167351,-72.28833149",4.0,2013-03-29 06:00:00,,4,1
"43.70581992,-72.28789232",4.0,2013-04-01 06:00:00,,7,2
"43.70412701,-72.29543193",5.0,2013-04-01 18:00:00,,8,2
"43.70375564,-72.296021",4.0,2013-04-03 04:00:00,,9,2
"43.70185971,-72.2876715",3.0,2013-04-05 04:00:00,,11,2
"43.70403059,-72.29608355",3.0,2013-04-04 05:00:00,,10,2
"43.70467136,-72.29424691",4.0,2013-04-07 06:00:00,,13,2
"43.70582114,-72.28794392",3.0,2013-04-08 06:00:00,,14,3
"43.70568599,-72.28783925",3.0,2013-04-09 01:00:00,,15,3
"43.70332015,-72.29598121",4.0,2013-04-10 20:00:00,,17,3
"43.70341924,-72.29629875",4.0,2013-04-11 20:00:00,,18,3
"43.70368617,-72.29580241",4.0,2013-04-12 20:00:00,,19,3
"43.70351337,-72.29604785",4.0,2013-04-13 21:00:00,,20,3
"43.70326794,-72.29043467",5.0,2013-04-17 07:00:00,,23,4
"43.70362837,-72.29609942",2.0,2013-04-14 20:00:00,,21,4
"43.70351032,-72.29612362",4.0,2013-04-18 06:00:00,,24,4
"43.70746347,-72.28509434",5.0,2013-04-19 06:00:00,,25,4
"43.70410502,-72.29484537",3.0,2013-04-22 06:00:00,,28,5
"43.7037887,-72.29615197",4.0,2013-04-26 18:00:00,,33,5
"43.70501854,-72.29249544",3.0,2013-04-30 07:00:00,,36,6
"43.701888339999996,-72.28851972",5.0,2013-05-03 04:00:00,,39,6
"43.70583433,-72.28880318",4.0,2013-05-05 06:00:00,,41,6
"43.70096638,-72.28858467",5.0,2013-05-11 07:00:00,,47,7
Unknown,5.0,2013-05-09 06:00:00,,45,7
Unknown,4.0,2013-05-10 06:00:00,,46,7
"43.70368448,-72.29611307",5.0,2013-05-14 09:00:00,,51,8
"43.70242394,-72.2919064",6.0,2013-05-13 13:00:00,,50,8
"43.70336841,-72.29649498",4.0,2013-05-25 06:00:00,,61,9
"43.70483061,-72.29437769",2.0,2013-06-01 02:00:00,,68,10
Unknown,3.0,2013-05-30 02:00:00,,66,10
