null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-15 20:00:00,CS65,1.0,3.0,10.0,"43.70369666,-72.29597969",22,4
,2013-04-15 23:00:00,ENGS25,2.0,3.0,1.0,"43.70369666,-72.29597969",22,4
,2013-04-15 22:00:00,ENGS93,2.0,4.0,1.0,"43.70369666,-72.29597969",22,4
,2013-04-17 20:00:00,CS65,2.0,3.0,1.0,"43.70342539,-72.29594334",24,4
,2013-04-17 23:00:00,ENGS93,1.0,4.0,7.0,"43.70351032,-72.29612362",24,4
,2013-04-17 23:00:00,ENGS25,2.0,1.0,1.0,"43.70351032,-72.29612362",24,4
,2013-04-18 20:00:00,CS65,2.0,3.0,2.0,"43.70746347,-72.28509434",25,4
,2013-04-18 20:00:00,CS65,2.0,3.0,2.0,"43.70746347,-72.28509434",25,4
,2013-04-19 21:00:00,ENGS93,2.0,3.0,2.0,"43.70397174,-72.29553785",26,4
,2013-04-19 22:00:00,ENGS25,1.0,1.0,6.0,"43.70397174,-72.29553785",26,4
