null,resp_time,level,location,day_offset,week
2,2013-03-24 10:00:00,,,0,1
"43.70642019,-72.28709812",2013-03-24 10:00:00,,,0,1
"43.70642019,-72.28709812",2013-03-24 09:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
,2013-03-28 22:00:00,4.0,Unknown,4,1
,2013-03-29 22:00:00,1.0,"43.70360724,-72.29640518",5,1
,2013-03-30 22:00:00,1.0,"43.7037725,-72.29602645",6,1
,2013-04-03 01:00:00,2.0,"43.70375564,-72.296021",9,2
,2013-03-31 22:00:00,4.0,"43.70400733,-72.29568279",7,2
,2013-04-01 18:00:00,2.0,"43.70412701,-72.29543193",8,2
,2013-04-03 06:00:00,2.0,"43.70375564,-72.296021",9,2
,2013-04-04 06:00:00,2.0,"43.70403059,-72.29608355",10,2
,2013-04-05 06:00:00,1.0,"43.70336187,-72.29657414",11,2
,2013-04-06 01:00:00,4.0,"43.70518052,-72.28847409",12,2
,2013-04-06 06:00:00,1.0,"43.70518052,-72.28847409",12,2
,2013-04-08 02:00:00,4.0,"43.70374466,-72.29602394",14,3
,2013-04-08 20:00:00,4.0,"43.70711139,-72.28597263",15,3
,2013-04-09 04:00:00,4.0,"43.70568599,-72.28783925",15,3
,2013-04-09 08:00:00,4.0,"43.70367226,-72.29609228",15,3
,2013-04-11 22:00:00,4.0,"43.70730744,-72.28556254",18,3
,2013-04-10 03:00:00,1.0,"43.70356543,-72.29661063",16,3
,2013-04-09 20:00:00,4.0,"43.70356543,-72.29661063",16,3
,2013-04-09 22:00:00,4.0,"43.70356543,-72.29661063",16,3
,2013-04-11 03:00:00,4.0,"43.70140891,-72.28826401",17,3
,2013-04-10 22:00:00,1.0,"43.70332015,-72.29598121",17,3
,2013-04-10 10:00:00,1.0,"43.70332015,-72.29598121",17,3
,2013-04-10 23:00:00,4.0,"43.70589712,-72.28946922",17,3
,2013-04-12 23:00:00,1.0,"43.70368617,-72.29580241",19,3
,2013-04-12 03:00:00,4.0,"43.70730744,-72.28556254",18,3
,2013-04-13 22:00:00,4.0,"43.70351337,-72.29604785",20,3
,2013-04-12 06:00:00,4.0,"43.70247957,-72.28853107",18,3
,2013-04-16 08:00:00,4.0,"43.70369666,-72.29597969",22,4
,2013-04-15 20:00:00,4.0,"43.70369666,-72.29597969",22,4
,2013-04-14 22:00:00,1.0,"43.70362837,-72.29609942",21,4
,2013-04-17 09:00:00,3.0,"43.70329363,-72.2904394",24,4
,2013-04-17 04:00:00,2.0,"43.70370911,-72.29582755",23,4
,2013-04-18 08:00:00,4.0,"43.70351032,-72.29612362",24,4
,2013-04-18 04:00:00,4.0,"43.70351032,-72.29612362",24,4
,2013-04-20 05:00:00,5.0,"43.70375648,-72.29575915",26,4
,2013-04-30 00:00:00,2.0,"43.70489887,-72.29225887",36,6
,2013-04-30 07:00:00,3.0,"43.70444278,-72.29423807",36,6
,2013-04-29 00:00:00,2.0,"43.70349058,-72.29630285",35,6
,2013-04-29 04:00:00,2.0,"43.70349058,-72.29630285",35,6
,2013-04-29 20:00:00,3.0,"43.70352854,-72.29607494",36,6
,2013-04-30 07:00:00,3.0,"43.70351749,-72.29606608",36,6
,2013-05-02 05:00:00,2.0,"43.70366156,-72.29600886",38,6
,2013-05-01 05:00:00,3.0,"43.70090072,-72.28811252",37,6
,2013-05-07 20:00:00,3.0,"43.70353749,-72.29596044",44,7
,2013-05-08 04:00:00,3.0,"43.70125389,-72.28827114",44,7
,2013-05-06 04:00:00,3.0,"43.70240731,-72.28871106",42,7
,2013-05-08 20:00:00,3.0,Unknown,45,7
,2013-05-07 05:00:00,3.0,"43.70353749,-72.29596044",43,7
,2013-05-15 03:00:00,3.0,"43.70368448,-72.29611307",51,8
,2013-05-16 19:00:00,3.0,"43.70368448,-72.29611307",53,8
,2013-05-15 19:00:00,3.0,"43.70368448,-72.29611307",52,8
,2013-05-18 02:00:00,3.0,"43.70340016,-72.29598785",54,8
,2013-05-18 20:00:00,3.0,"43.70340016,-72.29598785",55,8
,2013-05-19 04:00:00,3.0,"43.70340016,-72.29598785",55,8
,2013-05-22 04:00:00,3.0,"43.70344151,-72.29635117",58,9
,2013-05-24 04:00:00,3.0,"43.70364386,-72.29648143",60,9
,2013-05-24 22:00:00,4.0,"43.70363097,-72.29625958",61,9
,2013-05-30 02:00:00,2.0,Unknown,66,10
