null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-03 22:00:00,ENGS93,1.0,1.0,6.0,"43.70799826,-72.28495732",10,2
,2013-04-03 22:00:00,ENGS25,1.0,3.0,5.0,"43.70799826,-72.28495732",10,2
,2013-04-01 19:00:00,CS65,1.0,1.0,1.0,"43.70857509,-72.28453841",8,2
,2013-04-02 01:00:00,ENGS93,2.0,4.0,1.0,"43.70455321,-72.29195283",8,2
,2013-04-02 01:00:00,ENGS25,2.0,3.0,1.0,"43.70371798,-72.29605868",8,2
,2013-04-03 22:00:00,CS65,2.0,3.0,3.0,"43.70799826,-72.28495732",10,2
,2013-04-04 21:00:00,CS65,2.0,3.0,1.0,"43.70378631,-72.29590104",11,2
,2013-04-05 23:00:00,ENGS25,2.0,3.0,1.0,"43.7058539,-72.28945952",12,2
,2013-04-05 22:00:00,ENGS93,2.0,3.0,1.0,"43.70148828,-72.28937515",12,2
,2013-04-05 19:00:00,CS65,2.0,3.0,2.0,"43.70274179,-72.28911003",12,2
