location,number,resp_time,day_offset,week
"43.7028781,-72.29009704",4,2013-03-27 20:00:00,0,1
"43.70693132,-72.28888253",5,2013-03-29 06:00:00,1,1
"43.70742863,-72.28842649",4,2013-03-30 06:00:00,2,1
"43.70316428,-72.28958366",5,2013-03-31 06:00:00,3,1
"43.70707976,-72.28926095",4,2013-04-01 06:00:00,4,1
"43.70323119,-72.28881724",4,2013-04-03 04:00:00,6,1
"43.72349899,-72.28934052",5,2013-04-04 05:00:00,7,2
"43.70303294,-72.29061235",5,2013-04-05 04:00:00,8,2
"43.07856719,-71.47247614",4,2013-04-06 04:00:00,9,2
"43.70688139,-72.28866023",4,2013-04-10 20:00:00,14,3
"43.70715199,-72.2885498",4,2013-04-12 05:00:00,15,3
"43.70702788,-72.28909157",4,2013-04-12 20:00:00,16,3
"43.70698043,-72.2887427",5,2013-04-13 20:00:00,17,3
"43.70724046,-72.28885725",4,2013-04-16 22:00:00,20,3
"43.7037867,-72.28943352",5,2013-04-14 20:00:00,18,3
"43.70712411,-72.28877067",4,2013-04-17 06:00:00,20,3
"43.81237747,-72.18886948",5,2013-04-20 23:00:00,24,4
"43.7071141,-72.28895246",4,2013-04-21 06:00:00,24,4
"43.70635188,-72.2869814",5,2013-04-22 07:00:00,25,4
"43.70726931,-72.28898657",4,2013-04-28 06:00:00,31,5
"43.70262136,-72.29084874",4,2013-04-30 10:00:00,33,5
"43.70692093,-72.2882277",5,2013-05-03 07:00:00,36,6
"43.70702291,-72.28833102",4,2013-05-05 06:00:00,38,6
"43.70700711,-72.28832348",5,2013-05-06 16:00:00,39,6
"43.70696809,-72.28884744",5,2013-05-10 06:00:00,43,7
"43.70707271,-72.28864822",4,2013-05-14 06:00:00,47,7
"43.70542513,-72.289677",5,2013-05-11 07:00:00,44,7
"43.70705639,-72.28908191",5,2013-05-12 06:00:00,45,7
"43.70570937,-72.29025871",5,2013-05-24 06:00:00,57,9
"43.65234606,-72.31917207",5,2013-05-25 06:00:00,58,9
"43.70485676,-72.28807261",6,2013-05-26 02:00:00,59,9
"43.70412608,-72.28996465",4,2013-05-27 02:00:00,60,9
"43.70502248,-72.28958197",4,2013-05-28 02:00:00,61,9
Unknown,4,2013-05-29 03:00:00,62,9
"43.70718501,-72.28886216",3,2013-06-01 02:00:00,65,10
"43.70642722,-72.29108366",4,2013-06-03 03:00:00,67,10
