null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-02 22:00:00,film51,2.0,1.0,2.0,"43.70693078,-72.2855125",9,2
,2013-04-01 20:00:00,cs65,1.0,3.0,1.0,"43.70682761,-72.28580473",8,2
,2013-04-02 00:00:00,cs50,1.0,1.0,3.0,"43.70703814,-72.28709238",8,2
,2013-04-03 19:00:00,cs65,2.0,1.0,3.0,"43.70699519,-72.2857657",10,2
,2013-04-03 22:00:00,cs50,2.0,1.0,1.0,"43.70323136,-72.28785021",10,2
,2013-04-04 20:00:00,film51,1.0,3.0,6.0,"43.70626833,-72.28858324",11,2
,2013-04-04 21:00:00,cs65,2.0,1.0,1.0,"43.70577175,-72.28809302",11,2
,2013-04-04 08:00:00,film51,2.0,1.0,3.0,"43.70716892,-72.28610704",10,2
,2013-04-05 21:00:00,cs50,2.0,1.0,3.0,"43.70701786,-72.28610178",12,2
,2013-04-05 19:00:00,cs65,2.0,1.0,2.0,"43.70701786,-72.28610178",12,2
