null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-17 00:00:00,cs50,2.0,1.0,6.0,"43.70637595,-72.28640436",23,4
,2013-04-15 19:00:00,cs65,2.0,3.0,6.0,"43.70154751,-72.29133289",22,4
,2013-04-15 19:00:00,cs65,1.0,3.0,6.0,"43.70154751,-72.29133289",22,4
,2013-04-16 03:00:00,cs50,2.0,1.0,7.0,"43.70154751,-72.29133289",22,4
,2013-04-17 00:00:00,film51,1.0,1.0,6.0,"43.70637595,-72.28640436",23,4
,2013-04-17 21:00:00,cs50,2.0,1.0,6.0,"43.70755427,-72.2855435",24,4
,2013-04-17 19:00:00,cs65,2.0,3.0,2.0,"43.70755427,-72.2855435",24,4
,2013-04-18 02:00:00,film51,2.0,1.0,2.0,"43.70226871,-72.29293538",24,4
,2013-04-18 02:00:00,film51,2.0,1.0,2.0,"43.70226871,-72.29293538",24,4
,2013-04-19 08:00:00,cs65,2.0,2.0,2.0,"43.70734975,-72.28629956",25,4
,2013-04-19 19:00:00,cs65,2.0,3.0,5.0,"43.70710128,-72.28578159",26,4
,2013-04-19 08:00:00,film51,1.0,3.0,5.0,"43.70734975,-72.28629956",25,4
,2013-04-19 21:00:00,cs50,1.0,1.0,7.0,"43.70639664,-72.28857942",26,4
