null,resp_time,location,number,day_offset,week
"43.70634112,-72.2870533",2013-03-24 09:00:00,,,0,1
2,2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
"43.70409141,-72.28921646",2013-03-24 10:00:00,,,0,1
"43.70634115,-72.28705332",2013-03-24 10:00:00,,,0,1
,2013-03-30 06:00:00,"43.70288904,-72.28988903",1.0,5,1
,2013-03-27 06:00:00,"43.70690704,-72.28632015",2.0,2,1
,2013-03-29 08:00:00,"43.69950084,-72.29157244",2.0,4,1
,2013-04-01 08:00:00,Unknown,3.0,7,2
,2013-04-04 04:00:00,"43.69789429,-72.31446361",3.0,10,2
,2013-04-03 05:00:00,"43.70106694,-72.2864999",1.0,9,2
,2013-04-05 01:00:00,"43.7030279,-72.28948573",4.0,11,2
,2013-04-06 04:00:00,"43.70676365,-72.28546175",3.0,12,2
,2013-04-08 06:00:00,"43.7067029,-72.28540419",2.0,14,3
,2013-04-10 20:00:00,"43.70647041,-72.28787574",3.0,17,3
,2013-04-12 20:00:00,"43.70651205,-72.28555058",3.0,19,3
,2013-04-11 20:00:00,"43.70300231,-72.28918281",4.0,18,3
,2013-04-13 20:00:00,"43.70310945,-72.29051358",4.0,20,3
,2013-04-14 04:00:00,"43.70285468,-72.29111293",4.0,20,3
,2013-04-14 20:00:00,"43.70285468,-72.29111293",5.0,21,4
,2013-04-16 06:00:00,"43.70154751,-72.29133289",4.0,22,4
,2013-04-17 07:00:00,"43.7027651,-72.2899934",4.0,23,4
,2013-04-18 06:00:00,"43.69378323,-72.29014069",4.0,24,4
,2013-04-19 06:00:00,"43.70734975,-72.28629956",4.0,25,4
,2013-04-21 06:00:00,"43.7067391,-72.28556913",5.0,27,4
,2013-04-22 07:00:00,"43.7067805,-72.28550931",5.0,28,5
,2013-04-23 06:00:00,"43.70676468,-72.28542565",4.0,29,5
,2013-04-26 07:00:00,"43.70445438,-72.28941379",5.0,32,5
,2013-05-01 09:00:00,"43.70101204,-72.28677708",3.0,38,6
,2013-05-03 07:00:00,"43.7071838,-72.28865575",3.0,39,6
,2013-05-05 07:00:00,"43.70691192,-72.28587513",3.0,41,6
,2013-05-12 08:00:00,"43.70701211,-72.28611727",5.0,48,7
,2013-05-10 20:00:00,"43.70680418,-72.28601166",3.0,47,7
,2013-05-06 07:00:00,"43.70706627,-72.28596306",5.0,42,7
,2013-05-10 07:00:00,"43.70300642,-72.28981807",2.0,46,7
,2013-05-11 06:00:00,"43.70702534,-72.28577028",4.0,47,7
,2013-05-14 08:00:00,"43.70650157,-72.28532126",3.0,50,8
,2013-05-17 07:00:00,"43.70714135,-72.28594665",4.0,53,8
,2013-05-21 09:00:00,"43.70712264,-72.28701115",3.0,58,9
,2013-05-22 08:00:00,"43.7040776,-72.29042456",4.0,58,9
,2013-05-24 06:00:00,"43.70722775,-72.28725812",3.0,60,9
,2013-05-25 08:00:00,"43.70744109,-72.28667853",3.0,61,9
,2013-05-26 09:00:00,"43.70709334,-72.28524117",3.0,63,10
,2013-05-31 07:00:00,"43.70696465,-72.28583899",6.0,67,10
