level,location,resp_time,null,day_offset,week
,,2013-03-24 10:00:00,2,0,1
,,2013-03-24 10:00:00,"43.70523672,-72.28864567",0,1
,,2013-03-24 10:00:00,"43.70523672,-72.28864567",0,1
,,2013-03-24 10:00:00,4,0,1
1.0,"43.70569755,-72.29051497",2013-03-30 22:00:00,,6,1
,,2013-03-24 10:00:00,1,0,1
1.0,"43.70282146,-72.29016985",2013-03-27 22:00:00,,3,1
1.0,"43.70535842,-72.28724963",2013-03-28 23:00:00,,4,1
1.0,"43.70724486,-72.28721651",2013-03-29 22:00:00,,5,1
4.0,"43.70490618,-72.2903464",2013-03-31 23:00:00,,7,2
2.0,"43.70358976,-72.29054215",2013-04-03 00:00:00,,9,2
1.0,"43.70358976,-72.29054215",2013-04-02 17:00:00,,9,2
1.0,"43.70450379,-72.28884561",2013-04-04 00:00:00,,10,2
4.0,"43.70358976,-72.29054215",2013-04-03 16:00:00,,10,2
1.0,"43.70450379,-72.28884561",2013-04-03 22:00:00,,10,2
1.0,"43.70393687,-72.29111144",2013-04-04 22:00:00,,11,2
4.0,"43.70399029,-72.29031194",2013-04-05 01:00:00,,11,2
4.0,"43.70373421,-72.29092089",2013-04-06 01:00:00,,12,2
1.0,"43.7037992,-72.29079052",2013-04-05 23:00:00,,12,2
3.0,"43.7040162,-72.29110655",2013-04-08 23:00:00,,15,3
1.0,"43.70362252,-72.29130382",2013-04-07 21:00:00,,14,3
2.0,"43.70638642,-72.28846824",2013-04-08 00:00:00,,14,3
2.0,"43.70638642,-72.28846824",2013-04-08 03:00:00,,14,3
2.0,"43.70411779,-72.28816375",2013-04-08 21:00:00,,15,3
1.0,"43.70592306,-72.28973692",2013-04-09 04:00:00,,15,3
3.0,"43.70474513,-72.28856577",2013-04-11 02:00:00,,17,3
1.0,Unknown,2013-04-09 19:00:00,,16,3
1.0,"43.71418086,-72.2968304",2013-04-10 02:00:00,,16,3
2.0,"43.70361655,-72.29085905",2013-04-10 04:00:00,,16,3
1.0,"43.7037662,-72.29072759",2013-04-11 23:00:00,,18,3
3.0,"43.70474513,-72.28856577",2013-04-10 20:00:00,,17,3
3.0,"43.70474513,-72.28856577",2013-04-10 22:00:00,,17,3
1.0,"43.70364199,-72.29076278",2013-04-13 22:00:00,,20,3
4.0,"43.70364199,-72.29076278",2013-04-12 23:00:00,,19,3
1.0,"43.70338123,-72.29047331",2013-04-12 06:00:00,,18,3
3.0,"43.70364199,-72.29076278",2013-04-14 00:00:00,,20,3
3.0,"43.70350683,-72.28981599",2013-04-15 06:00:00,,21,4
1.0,"43.70350683,-72.28981599",2013-04-14 22:00:00,,21,4
2.0,"43.70348086,-72.29159422",2013-04-14 20:00:00,,21,4
1.0,"43.70346314,-72.29066114",2013-04-16 02:00:00,,22,4
1.0,"43.70383103,-72.28971738",2013-04-16 04:00:00,,22,4
1.0,"43.71269528,-72.28398406",2013-04-17 04:00:00,,23,4
1.0,"43.70459119,-72.28893631",2013-04-18 04:00:00,,24,4
2.0,"43.70378332,-72.29056908",2013-04-18 20:00:00,,25,4
1.0,"43.70692473,-72.28664094",2013-04-18 02:00:00,,24,4
2.0,"43.70459119,-72.28893631",2013-04-18 08:00:00,,24,4
2.0,"43.70590563,-72.28948565",2013-04-19 06:00:00,,25,4
