null,resp_time,location,number,day_offset,week
"43.70638453,-72.28701541",2013-03-24 09:00:00,,,0,1
"43.70638441,-72.2870153",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
4,2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
,2013-03-28 00:00:00,"43.63759451,-72.24841422",2.0,3,1
,2013-03-29 06:00:00,"43.63750239,-72.24838839",3.0,4,1
,2013-03-31 06:00:00,"43.63735709,-72.24818692",1.0,6,1
,2013-04-01 02:00:00,"43.64714305,-72.18863182",1.0,7,2
,2013-04-01 15:00:00,"43.63758924,-72.24854285",1.0,8,2
,2013-04-04 04:00:00,"43.70231248,-72.28784577",3.0,10,2
,2013-04-07 06:00:00,Unknown,4.0,13,2
,2013-04-08 06:00:00,"37.08200819,-76.38337962",3.0,14,3
,2013-04-10 20:00:00,"43.63733001,-72.24831108",3.0,17,3
,2013-04-13 17:00:00,"43.63769981,-72.24843196",4.0,20,3
,2013-04-11 20:00:00,"43.63760479,-72.24817944",1.0,18,3
,2013-04-13 22:00:00,"43.63800068,-72.25275713",3.0,20,3
,2013-04-14 06:00:00,"43.63750659,-72.24820929",1.0,20,3
,2013-04-14 20:00:00,"43.63788781,-72.24855406",1.0,21,4
,2013-04-19 08:00:00,"43.63750473,-72.24859763",3.0,25,4
,2013-04-22 06:00:00,"43.63751615,-72.24827533",1.0,28,5
,2013-04-29 08:00:00,"43.6375209,-72.24825666",1.0,35,6
,2013-05-12 15:00:00,"43.63779157,-72.24841028",1.0,49,8
