null,resp_time,hour,location,rate,social,day_offset,week
"43.70638456,-72.28701561",2013-03-24 09:00:00,,,,,0,1
"43.70638441,-72.2870153",2013-03-24 10:00:00,,,,,0,1
3,2013-03-24 10:00:00,,,,,0,1
8,2013-03-24 10:00:00,,,,,0,1
8,2013-03-24 10:00:00,,,,,0,1
2,2013-03-24 10:00:00,,,,,0,1
,2013-03-27 17:00:00,6.0,"43.63687425,-72.28544436",2.0,1.0,3,1
,2013-03-28 17:00:00,8.0,"43.67698318,-72.26028412",1.0,1.0,4,1
,2013-03-30 17:00:00,7.0,"43.63753107,-72.24846418",3.0,1.0,6,1
,2013-03-29 17:00:00,8.0,"43.70977927,-72.28303993",1.0,1.0,5,1
,2013-04-03 17:00:00,8.0,"43.63766483,-72.2485018",1.0,1.0,10,2
,2013-03-31 15:00:00,9.0,"43.63765489,-72.2487072",1.0,1.0,7,2
,2013-04-01 17:00:00,7.0,"43.70850413,-72.28575574",2.0,1.0,8,2
,2013-04-02 15:00:00,8.0,"43.63748657,-72.2482552",1.0,1.0,9,2
,2013-04-03 15:00:00,7.0,"43.63745411,-72.24846941",3.0,1.0,10,2
,2013-04-04 20:00:00,7.0,"43.70770892,-72.28875085",3.0,1.0,11,2
,2013-04-05 17:00:00,8.0,"43.70291796,-72.29076097",2.0,1.0,12,2
,2013-04-08 15:00:00,5.0,"37.07031926,-76.35966675",1.0,2.0,15,3
,2013-04-10 17:00:00,7.0,"43.63744706,-72.2481714",2.0,1.0,17,3
,2013-04-10 17:00:00,6.0,"43.63733001,-72.24831108",1.0,1.0,17,3
,2013-04-11 18:00:00,8.0,"43.63760479,-72.24817944",1.0,1.0,18,3
,2013-04-12 17:00:00,7.0,"43.70651514,-72.28830687",2.0,1.0,19,3
,2013-04-13 17:00:00,9.0,"43.63769981,-72.24843196",1.0,1.0,20,3
,2013-04-14 17:00:00,8.0,"43.63755737,-72.24817945",1.0,1.0,21,4
,2013-04-15 17:00:00,6.0,"43.70661726,-72.28610243",2.0,1.0,22,4
,2013-04-16 17:00:00,6.0,"43.6377843,-72.24839682",3.0,1.0,23,4
,2013-04-30 17:00:00,7.0,"43.63730762,-72.24814653",1.0,1.0,37,6
,2013-05-03 17:00:00,8.0,"43.6376426,-72.24851725",3.0,1.0,40,6
,2013-05-16 17:00:00,11.0,"43.63767795,-72.24819483",1.0,1.0,53,8
,2013-05-25 17:00:00,11.0,"43.6944467,-72.27895006",1.0,3.0,62,9
,2013-05-31 17:00:00,11.0,"43.63764029,-72.2483575",1.0,1.0,68,10
,2013-06-03 18:00:00,11.0,"43.7072019,-72.28658185",1.0,1.0,71,11
