null,resp_time,course_id,due,experience,hours,location,day_offset,week
"43.70636736,-72.28702107",2013-03-24 09:00:00,,,,,,0,1
gvv,2013-03-24 10:00:00,,,,,,0,1
2,2013-03-24 10:00:00,,,,,,0,1
gvc,2013-03-24 10:00:00,,,,,,0,1
1,2013-03-24 10:00:00,,,,,,0,1
,2013-03-27 04:00:00,"GH
",1.0,1.0,1.0,"43.70618903,-72.28722948",2,1
,2013-03-29 06:00:00,tuck 003,2.0,1.0,1.0,"43.63731604,-72.24852742",4,1
,2013-03-27 21:00:00,cs50,2.0,3.0,1.0,"43.70640895,-72.2882317",3,1
,2013-03-29 00:00:00,cs66,2.0,3.0,7.0,"43.68470585,-72.26924658",4,1
,2013-03-28 00:00:00,cs 89,2.0,3.0,1.0,"43.637604,-72.24834382",3,1
,2013-03-29 20:00:00,cs89,2.0,3.0,4.0,"43.70977927,-72.28303993",5,1
