null,resp_time,course_id,due,experience,hours,location,day_offset,week
,2013-04-02 00:00:00,cs65,1.0,3.0,5.0,"43.70660194,-72.28760119",8,2
,2013-04-02 00:00:00,engs31,2.0,3.0,5.0,"43.70660194,-72.28760119",8,2
,2013-04-03 02:00:00,engs31 lab,1.0,3.0,3.0,"43.70574918,-72.29112146",9,2
,2013-04-03 19:00:00,cs65 smartphone,2.0,3.0,3.0,"43.70566059,-72.29130704",10,2
,2013-04-02 21:00:00,engs31,1.0,3.0,3.0,"43.70546977,-72.29153142",9,2
,2013-04-03 21:00:00,engs31,2.0,2.0,4.0,"43.70566059,-72.29130704",10,2
,2013-04-03 22:00:00,engs31,2.0,2.0,5.0,"43.70566059,-72.29130704",10,2
,2013-04-04 03:00:00,vs 65 section ,2.0,3.0,1.0,"43.70619631,-72.28823087",10,2
,2013-04-04 20:00:00,cs65,2.0,2.0,2.0,"43.70619631,-72.28823087",11,2
,2013-04-04 22:00:00,cs65,2.0,2.0,2.0,"43.7056412,-72.29070799",11,2
,2013-04-05 22:00:00,engs31 ,2.0,3.0,4.0,"43.70553772,-72.29041241",12,2
,2013-04-05 20:00:00,cs65,2.0,3.0,6.0,"43.70553772,-72.29041241",12,2
