null,resp_time,level,location,day_offset,week
"43.70634108,-72.2870727",2013-03-24 10:00:00,,,0,1
"43.70634108,-72.2870727",2013-03-24 10:00:00,,,0,1
"43.70634108,-72.2870727",2013-03-24 10:00:00,,,0,1
"43.70632928,-72.28707102",2013-03-24 09:00:00,,,0,1
2,2013-03-24 10:00:00,,,0,1
,2013-03-28 20:00:00,1.0,"43.70287018,-72.29016014",4,1
,2013-03-28 20:00:00,2.0,Unknown,4,1
,2013-03-29 06:00:00,3.0,"43.70274374,-72.28756665",4,1
,2013-03-29 22:00:00,1.0,"43.70429003,-72.28624946",5,1
,2013-03-30 23:00:00,1.0,"43.70405331,-72.28579164",6,1
,2013-04-03 06:00:00,1.0,"43.70388196,-72.28583882",9,2
,2013-04-03 00:00:00,1.0,"43.70388196,-72.28583882",9,2
,2013-04-04 00:00:00,1.0,"43.70403288,-72.28595896",10,2
,2013-04-05 00:00:00,1.0,"43.70475035,-72.28638803",11,2
,2013-04-05 11:00:00,1.0,"43.70475035,-72.28638803",12,2
,2013-04-08 18:00:00,3.0,"43.70586093,-72.28868897",15,3
,2013-04-10 07:00:00,3.0,Unknown,16,3
,2013-04-15 00:00:00,2.0,Unknown,21,4
,2013-04-17 08:00:00,2.0,"43.70400104,-72.28585139",23,4
,2013-04-18 20:00:00,2.0,"43.70424431,-72.28559775",25,4
,2013-04-16 08:00:00,1.0,"43.70415002,-72.2857329",22,4
,2013-04-16 04:00:00,1.0,"43.70415002,-72.2857329",22,4
,2013-04-15 21:00:00,1.0,"43.70415002,-72.2857329",22,4
,2013-04-18 08:00:00,3.0,"43.70424431,-72.28559775",24,4
,2013-04-18 04:00:00,3.0,"43.70424431,-72.28559775",24,4
,2013-04-25 19:00:00,4.0,Unknown,32,5
,2013-04-26 18:00:00,1.0,Unknown,33,5
,2013-04-29 00:00:00,2.0,"43.70401485,-72.28565495",35,6
,2013-05-08 18:00:00,4.0,"43.70422252,-72.28584502",45,7
,2013-05-07 10:00:00,1.0,Unknown,44,7
