null,resp_time,location,number,day_offset,week
1,2013-03-24 10:00:00,,,0,1
"43.70634108,-72.2870727",2013-03-24 10:00:00,,,0,1
"43.70634108,-72.2870727",2013-03-24 10:00:00,,,0,1
1,2013-03-24 09:00:00,,,0,1
"43.70634108,-72.2870727",2013-03-24 10:00:00,,,0,1
,2013-03-29 06:00:00,"43.70274374,-72.28756665",3.0,4,1
,2013-03-28 20:00:00,"43.70655446,-72.28713909",1.0,4,1
,2013-03-29 19:00:00,"43.70754161,-72.28527106",2.0,5,1
,2013-03-31 09:00:00,"43.70245107,-72.28768138",3.0,7,2
,2013-04-01 09:00:00,"43.70389316,-72.28575202",1.0,8,2
,2013-04-03 04:00:00,"43.70388196,-72.28583882",3.0,9,2
,2013-04-08 06:00:00,"43.70405156,-72.28599069",1.0,14,3
,2013-04-15 10:00:00,Unknown,2.0,22,4
,2013-04-16 06:00:00,"43.70415002,-72.2857329",2.0,22,4
,2013-04-17 09:00:00,"43.70400104,-72.28585139",3.0,24,4
,2013-04-18 07:00:00,"43.70424431,-72.28559775",3.0,24,4
,2013-04-19 06:00:00,"43.70375531,-72.28604079",2.0,25,4
,2013-04-21 07:00:00,"43.70378808,-72.28567117",2.0,27,4
,2013-04-28 06:00:00,"43.70552478,-72.28974476",2.0,34,5
,2013-05-03 09:00:00,"43.70456912,-72.28710171",3.0,40,6
,2013-06-01 03:00:00,"43.70375608,-72.28703624",1.0,68,10
