null,resp_time,course_id,due,experience,hours,location,day_offset,week
1,2013-03-24 10:00:00,,,,,,0,1
2,2013-03-24 10:00:00,,,,,,0,1
ff,2013-03-24 10:00:00,,,,,,0,1
8,2013-03-24 10:00:00,,,,,,0,1
7,2013-03-24 10:00:00,,,,,,0,1
,2013-03-31 00:00:00,cs65,2.0,1.0,8.0,"43.70406856,-72.29058126",6,1
,2013-03-29 00:00:00,cs65,2.0,3.0,2.0,"43.70648538,-72.28742777",4,1
,2013-03-27 20:00:00,cs65,2.0,2.0,3.0,"43.70605071,-72.28863023",3,1
,2013-03-28 00:00:00,cs89,2.0,3.0,6.0,"43.70641004,-72.28743893",3,1
,2013-03-27 20:00:00,cs89,2.0,2.0,6.0,"43.70605071,-72.28863023",3,1
,2013-03-30 03:00:00,cs89,2.0,3.0,5.0,"43.70536412,-72.28973776",5,1
