null,resp_time,level,location,day_offset,week
"43.70632816,-72.28699831",2013-03-24 10:00:00,,,0,1
3,2013-03-24 10:00:00,,,0,1
"43.70632816,-72.28699831",2013-03-24 10:00:00,,,0,1
"43.70632816,-72.28699831",2013-03-24 10:00:00,,,0,1
"43.70632816,-72.28699831",2013-03-24 09:00:00,,,0,1
,2013-03-27 22:00:00,4.0,"43.70834437,-72.28451848",3,1
,2013-03-28 22:00:00,1.0,"43.70645754,-72.28704395",4,1
,2013-03-29 23:00:00,4.0,"43.70723487,-72.28559257",5,1
,2013-03-30 22:00:00,4.0,"43.70631001,-72.28703982",6,1
,2013-04-04 01:00:00,2.0,"43.70720395,-72.29323446",10,2
,2013-03-31 22:00:00,5.0,"44.22093774,-72.58471841",7,2
,2013-04-03 06:00:00,1.0,"43.70705601,-72.29325701",9,2
,2013-04-05 06:00:00,1.0,"43.7070604,-72.29313622",11,2
,2013-04-07 02:00:00,4.0,"43.70318385,-72.29022854",13,2
,2013-04-08 20:00:00,1.0,"43.70720645,-72.29347981",15,3
,2013-04-08 02:00:00,1.0,"43.70620445,-72.29116858",14,3
,2013-04-09 08:00:00,1.0,"43.70711293,-72.29300838",15,3
,2013-04-13 22:00:00,1.0,"43.70725458,-72.29319166",20,3
,2013-04-11 22:00:00,1.0,"43.70686475,-72.28624548",18,3
,2013-04-14 22:00:00,2.0,"43.70306572,-72.29094266",21,4
,2013-04-15 20:00:00,1.0,"43.7091282,-72.28429872",22,4
,2013-04-16 04:00:00,2.0,"43.70727735,-72.29334662",22,4
,2013-04-16 09:00:00,2.0,"43.70705175,-72.29304265",23,4
,2013-04-17 08:00:00,4.0,"43.70716557,-72.29339797",23,4
,2013-04-18 04:00:00,4.0,"43.70699854,-72.29297309",24,4
,2013-04-20 09:00:00,4.0,"43.70714265,-72.29314518",27,4
,2013-04-25 18:00:00,1.0,"43.70501532,-72.29064885",32,5
,2013-04-23 08:00:00,1.0,"43.70723784,-72.29303131",29,5
,2013-04-29 00:00:00,2.0,"43.70512323,-72.29159062",35,6
,2013-04-29 04:00:00,2.0,"43.70517745,-72.2882317",35,6
,2013-04-30 04:00:00,2.0,Unknown,36,6
,2013-05-03 06:00:00,1.0,Unknown,39,6
,2013-05-06 07:00:00,1.0,"43.70719676,-72.29315695",42,7
,2013-05-08 08:00:00,1.0,"43.70718855,-72.29322803",44,7
,2013-05-07 20:00:00,1.0,"43.70171273,-72.2882615",44,7
