null,resp_time,hour,location,rate,social,day_offset,week
"43.70632816,-72.28699831",2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 09:00:00,,,,,0,1
10,2013-03-24 10:00:00,,,,,0,1
8,2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
,2013-03-27 07:00:00,8.0,"43.70723501,-72.29347145",2.0,1.0,2,1
,2013-03-29 17:00:00,7.0,"43.70707642,-72.29320008",3.0,1.0,5,1
,2013-03-27 18:00:00,8.0,"43.70834437,-72.28451848",2.0,1.0,3,1
,2013-03-28 17:00:00,7.0,"43.70641389,-72.29107117",2.0,1.0,4,1
,2013-03-30 18:00:00,8.0,"43.70709166,-72.29282882",2.0,1.0,6,1
,2013-03-31 17:00:00,7.0,"43.70727019,-72.29252239",2.0,1.0,7,2
,2013-04-01 18:00:00,7.0,"43.70662942,-72.29294684",2.0,1.0,8,2
,2013-04-03 18:00:00,8.0,"43.70675024,-72.28772427",3.0,2.0,10,2
,2013-04-02 18:00:00,8.0,"43.70694471,-72.29285091",2.0,2.0,9,2
,2013-04-04 17:00:00,8.0,"43.70699087,-72.29313158",2.0,2.0,11,2
,2013-04-05 17:00:00,8.0,"43.70719722,-72.29290575",2.0,1.0,12,2
,2013-04-06 20:00:00,7.0,"43.70706246,-72.29325032",2.0,1.0,13,2
,2013-04-08 00:00:00,9.0,"43.70620445,-72.29116858",2.0,1.0,14,3
,2013-04-08 17:00:00,7.0,"43.70720645,-72.29347981",2.0,1.0,15,3
,2013-04-09 17:00:00,7.0,"43.70713201,-72.29322051",2.0,1.0,16,3
,2013-04-10 18:00:00,8.0,"43.7069528,-72.2931724",2.0,2.0,17,3
,2013-04-13 17:00:00,8.0,"43.707168,-72.29310824",2.0,2.0,20,3
,2013-04-17 18:00:00,9.0,"43.70605802,-72.28864087",2.0,1.0,24,4
,2013-04-21 19:00:00,8.0,"43.70719648,-72.29309611",2.0,1.0,28,5
,2013-04-22 18:00:00,8.0,"43.70900376,-72.2843243",2.0,2.0,29,5
,2013-04-25 22:00:00,7.0,"43.70870796,-72.28461773",2.0,1.0,32,5
,2013-04-26 17:00:00,6.0,"43.70720485,-72.29317244",2.0,2.0,33,5
,2013-05-03 06:00:00,8.0,Unknown,2.0,2.0,39,6
,2013-05-03 18:00:00,9.0,"43.7071293,-72.29291473",1.0,2.0,40,6
,2013-05-05 18:00:00,9.0,"43.70716858,-72.29328296",1.0,2.0,42,7
,2013-05-16 17:00:00,12.0,"43.70731664,-72.29342927",2.0,1.0,53,8
