null,resp_time,level,location,day_offset,week
1,2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
"43.70667971,-72.28698867",2013-03-24 10:00:00,,,0,1
"43.70427927,-72.28971705",2013-03-24 10:00:00,,,0,1
1,2013-03-24 09:00:00,,,0,1
5,2013-03-24 10:00:00,,,0,1
,2013-03-30 22:00:00,2.0,"43.7029945,-72.29112495",6,1
,2013-03-28 22:00:00,1.0,"43.70716035,-72.28937596666667",4,1
,2013-03-31 22:00:00,2.0,"43.70538861666667,-72.2896257",7,2
,2013-04-03 00:00:00,1.0,"43.70710476666667,-72.28895371666667",9,2
,2013-04-03 06:00:00,5.0,"43.70712738333334,-72.28893718333333",9,2
,2013-04-04 00:00:00,5.0,"43.7069955,-72.28824085",10,2
,2013-04-04 08:00:00,5.0,"43.707083266666665,-72.28889416666667",10,2
,2013-04-05 00:00:00,1.0,"43.706978783333334,-72.28869071666666",11,2
,2013-04-05 15:00:00,1.0,"43.707280983333334,-72.2890027",12,2
,2013-04-06 00:00:00,3.0,"43.70726605,-72.28919321666666",12,2
,2013-04-07 03:00:00,3.0,"43.707121433333334,-72.28947938333333",13,2
,2013-04-06 18:00:00,3.0,"43.70713713333333,-72.28891073333334",13,2
,2013-04-08 20:00:00,3.0,"43.70326943333333,-72.290563",15,3
,2013-04-09 08:00:00,5.0,"43.70704988333333,-72.28903018333334",15,3
,2013-04-10 22:00:00,1.0,"43.7030312,-72.28956423333334",17,3
,2013-04-11 22:00:00,5.0,"43.70706548333333,-72.28899323333333",18,3
,2013-04-12 21:00:00,1.0,"43.70716755,-72.2888156",19,3
,2013-04-13 23:00:00,5.0,"43.70729465,-72.288737",20,3
,2013-04-18 04:00:00,4.0,"43.707109683333336,-72.28891951666667",24,4
,2013-04-17 08:00:00,1.0,"43.7032011,-72.29047235",23,4
,2013-04-14 23:00:00,2.0,"43.706763233333334,-72.28900886666666",21,4
,2013-04-15 20:00:00,1.0,"43.70699183333333,-72.2890747",22,4
,2013-04-16 08:00:00,1.0,"43.707300599999996,-72.2890433",22,4
,2013-04-17 04:00:00,4.0,"43.7032011,-72.29047235",23,4
,2013-04-18 08:00:00,5.0,"43.7069446,-72.28889408333333",24,4
,2013-04-23 08:00:00,2.0,"43.70715625,-72.2889859",29,5
,2013-04-26 18:00:00,2.0,"43.7070872,-72.28909465",33,5
,2013-04-29 06:00:00,2.0,"43.70727278333333,-72.28916668333333",35,6
,2013-04-30 08:00:00,1.0,"43.70723443333333,-72.28894548333334",36,6
,2013-04-29 01:00:00,1.0,"43.707265416666665,-72.28896075",35,6
,2013-05-01 06:00:00,1.0,"43.70781448333334,-72.28638735",37,6
,2013-05-16 19:00:00,2.0,"43.7072038,-72.28910031666666",53,8
,2013-05-16 02:00:00,2.0,"43.707834016666666,-72.28659761666667",52,8
,2013-05-17 20:00:00,1.0,"43.70797026666666,-72.28684785",54,8
,2013-05-19 04:00:00,3.0,"43.70768413333333,-72.28665698333333",55,8
,2013-05-19 19:00:00,1.0,"43.70704741666667,-72.28891435",56,9
,2013-05-21 06:00:00,3.0,"43.70696515,-72.288993",57,9
,2013-05-22 04:00:00,1.0,"43.70773375,-72.28618268333334",58,9
,2013-05-21 19:00:00,3.0,"43.707672716666664,-72.28611655",58,9
,2013-05-22 19:00:00,1.0,"43.70609388333333,-72.28685355",59,9
,2013-05-25 04:00:00,5.0,"43.70400668333333,-72.28917318333333",61,9
