hour,location,rate,resp_time,social,null,day_offset,week
,,,2013-03-24 09:00:00,,"43.70621142,-72.28697323",0,1
,,,2013-03-24 10:00:00,,1,0,1
,,,2013-03-24 10:00:00,,"43.70621142,-72.28697323",0,1
,,,2013-03-24 10:00:00,,8,0,1
,,,2013-03-24 10:00:00,,1,0,1
,,,2013-03-24 10:00:00,,"43.70621142,-72.28697323",0,1
7.0,"43.70407087,-72.28782785",2.0,2013-03-27 19:00:00,1.0,,3,1
7.0,"43.70822031,-72.28454379",2.0,2013-03-27 19:00:00,1.0,,3,1
8.0,"43.70291316,-72.28943322",1.0,2013-03-30 20:00:00,1.0,,6,1
8.0,"43.70443854,-72.2860879",1.0,2013-03-30 16:00:00,1.0,,6,1
8.0,"43.70430713,-72.29029683",2.0,2013-03-30 02:00:00,1.0,,5,1
6.0,"43.70647211,-72.28802604",2.0,2013-03-30 02:00:00,1.0,,5,1
8.0,"43.70459605,-72.2899188",2.0,2013-04-03 17:00:00,1.0,,10,2
7.0,"43.70341845,-72.29014363",2.0,2013-04-01 17:00:00,1.0,,8,2
8.0,"43.70268506,-72.2871776",2.0,2013-03-31 17:00:00,1.0,,7,2
7.0,"43.70679334,-72.28767766",2.0,2013-04-02 17:00:00,1.0,,9,2
7.0,"43.70168352,-72.28807511",2.0,2013-04-04 17:00:00,1.0,,11,2
7.0,"43.70173422,-72.28775943",2.0,2013-04-05 17:00:00,1.0,,12,2
8.0,"43.70464259,-72.28795732",2.0,2013-04-06 18:00:00,3.0,,13,2
8.0,"43.70238375,-72.28772441",2.0,2013-04-08 17:00:00,1.0,,15,3
7.0,"43.70336268,-72.28777469",2.0,2013-04-07 17:00:00,1.0,,14,3
8.0,"43.70278942,-72.28658418",2.0,2013-04-09 17:00:00,1.0,,16,3
8.0,"43.70278942,-72.28658418",3.0,2013-04-10 17:00:00,1.0,,17,3
8.0,"43.70278942,-72.28658418",2.0,2013-04-11 17:00:00,1.0,,18,3
7.0,"43.70278942,-72.28658418",2.0,2013-04-12 17:00:00,1.0,,19,3
6.0,"43.70278942,-72.28658418",3.0,2013-04-13 20:00:00,3.0,,20,3
8.0,"43.7050225,-72.28939767",2.0,2013-04-17 17:00:00,1.0,,24,4
8.0,"43.7050225,-72.28939767",2.0,2013-04-16 17:00:00,1.0,,23,4
7.0,"43.70278942,-72.28658418",3.0,2013-04-14 18:00:00,1.0,,21,4
8.0,"43.7050225,-72.28939767",2.0,2013-04-15 17:00:00,1.0,,22,4
8.0,"43.7050225,-72.28939767",2.0,2013-04-18 17:00:00,3.0,,25,4
8.0,"43.70539179,-72.28841197",2.0,2013-04-21 17:00:00,1.0,,28,5
6.0,"43.70324408,-72.28961597",3.0,2013-04-23 16:00:00,1.0,,30,5
8.0,"43.70324408,-72.28961597",2.0,2013-04-22 17:00:00,1.0,,29,5
6.0,"43.70324408,-72.28961597",3.0,2013-04-23 17:00:00,1.0,,30,5
8.0,"43.70416259,-72.2875169",3.0,2013-04-27 17:00:00,1.0,,34,5
8.0,"43.70330372,-72.2898598",2.0,2013-04-26 17:00:00,4.0,,33,5
8.0,"43.70340655,-72.28873632",3.0,2013-04-29 17:00:00,1.0,,36,6
7.0,"43.70160853,-72.28805517",4.0,2013-04-30 17:00:00,1.0,,37,6
8.0,"43.70412157,-72.28527572",2.0,2013-05-01 17:00:00,1.0,,38,6
8.0,"43.70412157,-72.28527572",1.0,2013-05-02 17:00:00,1.0,,39,6
7.0,"43.70431466,-72.28543542",2.0,2013-05-03 21:00:00,1.0,,40,6
5.0,"43.70321757,-72.28619493",2.0,2013-05-07 17:00:00,1.0,,44,7
10.0,"43.70420958,-72.28780578",2.0,2013-05-08 17:00:00,1.0,,45,7
10.0,"43.70721373,-72.28551043",2.0,2013-05-10 18:00:00,1.0,,47,7
8.0,"43.70290684,-72.28530452",2.0,2013-05-06 17:00:00,1.0,,43,7
7.0,"43.70428011,-72.28681054",2.0,2013-05-05 19:00:00,1.0,,42,7
10.0,"43.70274793,-72.28753523",2.0,2013-05-11 17:00:00,1.0,,48,7
10.0,"43.70620585,-72.28792804",2.0,2013-05-16 19:00:00,1.0,,53,8
10.0,"43.70274636,-72.28946321",2.0,2013-05-12 19:00:00,1.0,,49,8
10.0,"43.70345358,-72.28778708",2.0,2013-05-14 18:00:00,1.0,,51,8
10.0,Unknown,1.0,2013-05-21 18:00:00,1.0,,58,9
7.0,"43.70288597,-72.29129431",2.0,2013-05-29 19:00:00,1.0,,66,10
