location,number,resp_time,null,day_offset,week
"43.7026033,-72.28671544",3.0,2013-03-31 07:00:00,,6,1
,,2013-03-24 10:00:00,4,0,1
,,2013-03-24 10:00:00,"43.70621142,-72.28697323",0,1
,,2013-03-24 09:00:00,1,0,1
,,2013-03-24 10:00:00,"43.70621142,-72.28697323",0,1
"43.70559517,-72.28821559",2.0,2013-03-27 23:00:00,,3,1
"43.70644884,-72.28820168",3.0,2013-03-30 02:00:00,,5,1
"43.70644884,-72.28820168",3.0,2013-03-30 06:00:00,,5,1
"43.70241112,-72.28788985",4.0,2013-04-01 06:00:00,,7,2
Unknown,3.0,2013-04-03 04:00:00,,9,2
"43.70173422,-72.28775943",3.0,2013-04-05 04:00:00,,11,2
"43.70336268,-72.28777469",3.0,2013-04-07 07:00:00,,13,2
"43.70238375,-72.28772441",3.0,2013-04-08 02:00:00,,14,3
"43.70238375,-72.28772441",3.0,2013-04-08 08:00:00,,14,3
"43.70278942,-72.28658418",3.0,2013-04-10 21:00:00,,17,3
"43.70278942,-72.28658418",3.0,2013-04-13 20:00:00,,20,3
"43.70278942,-72.28658418",3.0,2013-04-12 20:00:00,,19,3
"43.7050225,-72.28939767",4.0,2013-04-16 06:00:00,,22,4
"43.70278942,-72.28658418",2.0,2013-04-14 20:00:00,,21,4
"43.70278942,-72.28658418",2.0,2013-04-14 20:00:00,,21,4
"43.7050225,-72.28939767",4.0,2013-04-18 07:00:00,,24,4
"43.7050225,-72.28939767",3.0,2013-04-19 16:00:00,,26,4
"43.70539179,-72.28841197",3.0,2013-04-21 07:00:00,,27,4
"43.70376741,-72.28830285",4.0,2013-04-22 01:00:00,,28,5
"43.70324408,-72.28961597",4.0,2013-04-22 07:00:00,,28,5
"43.70324408,-72.28961597",3.0,2013-04-23 07:00:00,,29,5
"43.70151131,-72.28813703",4.0,2013-04-28 16:00:00,,35,6
"43.70431466,-72.28543542",3.0,2013-05-03 16:00:00,,40,6
"43.70318292,-72.28786899",3.0,2013-05-05 16:00:00,,42,7
"43.70290684,-72.28530452",4.0,2013-05-06 16:00:00,,43,7
"43.70721373,-72.28551043",3.0,2013-05-10 17:00:00,,47,7
"43.70274793,-72.28753523",4.0,2013-05-12 16:00:00,,49,8
"43.70200305,-72.28757046",3.0,2013-05-13 08:00:00,,49,8
Unknown,2.0,2013-05-31 02:00:00,,67,10
