null,resp_time,course_id,due,experience,hours,location,day_offset,week
1,2013-03-24 10:00:00,,,,,,0,1
2,2013-03-24 10:00:00,,,,,,0,1
,2013-03-30 02:00:00,cs65,2.0,1.0,3.0,"43.70645395,-72.28818327",5,1
,2013-03-30 02:00:00,cs50,2.0,3.0,2.0,"43.70644884,-72.28820168",5,1
ff,2013-03-24 10:00:00,,,,,,0,1
ggc,2013-03-24 10:00:00,,,,,,0,1
2,2013-03-24 10:00:00,,,,,,0,1
f,2013-03-24 09:00:00,,,,,,0,1
,2013-03-27 19:00:00,cs65,2.0,3.0,2.0,"43.70582994,-72.28763412",3,1
,2013-03-30 02:00:00,cs 65,2.0,1.0,5.0,"43.70647211,-72.28802604",5,1
,2013-03-31 01:00:00,bio4,2.0,3.0,3.0,"43.70312458,-72.28787646",6,1
