times, activity inference,location,location_des
2013-05-29 04:00:00,0,"North Park Street, Hanover, NH 03755, United States of America",Dartmouth Green
2013-05-29 05:00:00,0,"North Park Street, Hanover, NH 03755, United States of America",North Park Street
2013-05-29 06:00:00,0,"18 North Park Street, Hanover, NH 03755, United States of America",McNutt Hall
2013-05-29 07:00:00,0,"18 North Park Street, Hanover, NH 03755, United States of America",This location is the Office of Admissions
2013-05-29 08:00:00,0,"North Park Street, Hanover, NH 03755, United States of America",Baker-Berry Library
2013-05-29 09:00:00,0,"18 North Park Street, Hanover, NH 03755, United States of America",The Hopkins Center for the Arts
2013-05-29 10:00:00,0,"18 North Park Street, Hanover, NH 03755, United States of America",Baker-Berry Library
2013-05-29 11:00:00,0,"18 North Park Street, Hanover, NH 03755, United States of America",Dartmouth College Admissions Office
2013-05-29 12:00:00,1,"78 College Street, Hanover, NH 03755, United States of America",Tuck School of Business
2013-05-29 13:00:00,3,"Class of 1978 Life Sciences Center, 78 College Street, Hanover, NH 03755, United States of America",It is a laboratory and classroom building
