course_id,due,experience,hours,location,resp_time,null,day_offset,week
cs 50,2.0,3.0,3.0,"43.7086476,-72.28468996",2013-03-30 00:00:00,,5,1
,,,,,2013-03-24 10:00:00,1,0,1
,,,,,2013-03-24 10:00:00,8,0,1
,,,,,2013-03-24 10:00:00,vc,0,1
,,,,,2013-03-24 10:00:00,vvb,0,1
,,,,,2013-03-24 10:00:00,1,0,1
CS50,2.0,3.0,1.0,"43.70296715,-72.29077311",2013-03-27 22:00:00,,3,1
nas35,2.0,1.0,1.0,"43.70297565,-72.29074642",2013-03-27 22:00:00,,3,1
cs65,2.0,1.0,1.0,"43.70466197,-72.28980065",2013-03-27 19:00:00,,3,1
cs65,2.0,3.0,1.0,"43.70399272,-72.29051569",2013-03-29 01:00:00,,4,1
cs65,2.0,3.0,1.0,"43.70399272,-72.29051569",2013-03-28 22:00:00,,4,1
cs65,2.0,3.0,3.0,"43.70414927,-72.29076226",2013-03-29 19:00:00,,5,1
nas 35,2.0,1.0,2.0,"43.7086476,-72.28468996",2013-03-30 00:00:00,,5,1
