level,location,resp_time,null,day_offset,week
3.0,"43.70411722,-72.29047127",2013-03-31 02:00:00,,6,1
,,2013-03-24 10:00:00,2,0,1
,,2013-03-24 10:00:00,2,0,1
,,2013-03-24 10:00:00,"43.70629505,-72.28825598",0,1
,,2013-03-24 10:00:00,"43.70482498,-72.2884041",0,1
,,2013-03-24 10:00:00,"43.70482498,-72.2884041",0,1
,,2013-03-24 10:00:00,2,0,1
1.0,"43.70665178,-72.28678516",2013-03-27 07:00:00,,2,1
1.0,"43.70466197,-72.28980065",2013-03-27 22:00:00,,3,1
5.0,"43.70256935,-72.28790785",2013-03-28 07:00:00,,3,1
4.0,"43.70301015,-72.2907521",2013-03-28 03:00:00,,3,1
5.0,"43.70256935,-72.28790785",2013-03-28 10:00:00,,4,1
1.0,"43.70399272,-72.29051569",2013-03-29 01:00:00,,4,1
4.0,"43.70414927,-72.29076226",2013-03-29 17:00:00,,5,1
1.0,"43.7086476,-72.28468996",2013-03-29 23:00:00,,5,1
2.0,"43.7086476,-72.28468996",2013-03-30 00:00:00,,5,1
3.0,"43.70424862,-72.29040642",2013-03-30 04:00:00,,5,1
1.0,"43.70411722,-72.29047127",2013-03-31 02:00:00,,6,1
1.0,"43.70411722,-72.29047127",2013-03-31 10:00:00,,7,2
1.0,"43.70303667,-72.29086341",2013-03-31 22:00:00,,7,2
4.0,"43.70357146,-72.29017646",2013-03-31 20:00:00,,7,2
1.0,"43.70397877,-72.29023959",2013-04-01 08:00:00,,7,2
4.0,"43.70417513,-72.29017786",2013-04-03 07:00:00,,9,2
1.0,"43.7040117,-72.29030024",2013-04-01 22:00:00,,8,2
1.0,"43.7040117,-72.29030024",2013-04-02 04:00:00,,8,2
4.0,"43.70407922,-72.29020632",2013-04-03 00:00:00,,9,2
1.0,"43.70594306,-72.28855419",2013-04-04 05:00:00,,10,2
1.0,"43.70594306,-72.28855419",2013-04-04 06:00:00,,10,2
4.0,"43.70400449,-72.29016096",2013-04-04 20:00:00,,11,2
1.0,"43.70277968,-72.28478736",2013-04-05 00:00:00,,11,2
1.0,"43.70405335,-72.29024681",2013-04-06 00:00:00,,12,2
5.0,"43.70434883,-72.29055101",2013-04-07 06:00:00,,13,2
5.0,"43.70407347,-72.29009938",2013-04-08 17:00:00,,15,3
4.0,Unknown,2013-04-08 02:00:00,,14,3
4.0,"43.70306765,-72.29085617",2013-04-09 08:00:00,,15,3
4.0,"43.70418536,-72.29015097",2013-04-09 22:00:00,,16,3
4.0,"43.70458274,-72.29070844",2013-04-10 18:00:00,,17,3
1.0,"43.70458274,-72.29070844",2013-04-11 00:00:00,,17,3
4.0,"43.70412073,-72.29025745",2013-04-11 07:00:00,,17,3
1.0,"43.70414838,-72.29074049",2013-04-12 22:00:00,,19,3
4.0,"43.70464858,-72.29198064",2013-04-11 23:00:00,,18,3
1.0,"43.70385961,-72.28977364",2013-04-12 07:00:00,,18,3
4.0,"43.70393355,-72.29005374",2013-04-13 02:00:00,,19,3
2.0,"43.70323331,-72.29018729",2013-04-13 23:00:00,,20,3
1.0,"43.70408869,-72.29048838",2013-04-14 21:00:00,,21,4
1.0,"43.70408869,-72.29048838",2013-04-14 23:00:00,,21,4
1.0,"43.70389866,-72.29006061",2013-04-16 00:00:00,,22,4
1.0,"43.70389866,-72.29006061",2013-04-15 21:00:00,,22,4
1.0,"43.70389866,-72.29006061",2013-04-16 08:00:00,,22,4
1.0,"43.70139526,-72.28817562",2013-04-17 05:00:00,,23,4
1.0,"43.70425741,-72.29058438",2013-04-18 04:00:00,,24,4
1.0,"43.70426635,-72.29067159",2013-04-18 08:00:00,,24,4
4.0,"43.70426635,-72.29067159",2013-04-19 02:00:00,,25,4
1.0,"43.70423992,-72.2905566",2013-04-20 05:00:00,,26,4
4.0,"43.70418092,-72.29045018",2013-04-23 08:00:00,,29,5
4.0,Unknown,2013-05-06 04:00:00,,42,7
4.0,Unknown,2013-05-07 07:00:00,,43,7
4.0,Unknown,2013-05-12 05:00:00,,48,7
4.0,Unknown,2013-05-07 20:00:00,,44,7
1.0,"43.70491554,-72.28914282",2013-05-16 02:00:00,,52,8
4.0,"43.70476212,-72.28945343",2013-05-23 19:00:00,,60,9
