hour,location,rate,resp_time,social,null,day_offset,week
,,,2013-03-24 10:00:00,,6,0,1
,,,2013-03-24 10:00:00,,"43.70629505,-72.28825598",0,1
,,,2013-03-24 10:00:00,,9,0,1
,,,2013-03-24 10:00:00,,6,0,1
6.0,"43.70665178,-72.28678516",3.0,2013-03-27 07:00:00,1.0,,2,1
,,,2013-03-24 10:00:00,,"43.70482498,-72.2884041",0,1
6.0,"43.70277234,-72.28807846",3.0,2013-03-28 03:00:00,1.0,,3,1
8.0,"43.70399272,-72.29051569",2.0,2013-03-28 19:00:00,1.0,,4,1
7.0,"43.70414927,-72.29076226",1.0,2013-03-29 17:00:00,1.0,,5,1
8.0,"43.70411722,-72.29047127",1.0,2013-03-31 02:00:00,1.0,,6,1
7.0,"43.70417513,-72.29017786",2.0,2013-04-03 17:00:00,1.0,,10,2
9.0,"43.70357146,-72.29017646",1.0,2013-03-31 20:00:00,1.0,,7,2
8.0,"43.70436634,-72.29015652",2.0,2013-04-01 17:00:00,1.0,,8,2
8.0,"43.70407922,-72.29020632",1.0,2013-04-02 18:00:00,1.0,,9,2
9.0,"43.70400449,-72.29016096",1.0,2013-04-04 19:00:00,1.0,,11,2
8.0,"43.70405335,-72.29024681",1.0,2013-04-05 20:00:00,1.0,,12,2
8.0,"43.70407347,-72.29009938",1.0,2013-04-08 17:00:00,1.0,,15,3
9.0,"43.70418536,-72.29015097",1.0,2013-04-09 19:00:00,1.0,,16,3
8.0,"43.70458274,-72.29070844",2.0,2013-04-10 17:00:00,1.0,,17,3
7.0,"43.70464858,-72.29198064",1.0,2013-04-11 19:00:00,1.0,,18,3
8.0,"43.70408869,-72.29048838",2.0,2013-04-14 21:00:00,1.0,,21,4
9.0,"43.70418092,-72.29045018",1.0,2013-04-21 18:00:00,1.0,,28,5
8.0,"37.32982039,-122.0375421",1.0,2013-04-30 20:00:00,1.0,,37,6
10.0,Unknown,3.0,2013-05-10 17:00:00,1.0,,47,7
15.0,"43.70394194,-72.29039284",1.0,2013-05-14 19:00:00,1.0,,51,8
